% Model:              C1Eq.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 10 2021, 09:42
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.5                      -0.5                     3.625191354000583E-16    -2.008578256761324E-23   0.6197257945574565       -0.3168004021163489      0.6221324175402357       -0.31438687266413506     -0.31680040211634913     -0.3143868726641353      0.0061972582078590535
-0.49                     -0.5                     3.3341934672022345E-17   -4.709098736171864E-24   0.6165432297035999       -0.31971660708928484     0.6189740937796758       -0.3172819178935023      -0.31971660708928484     -0.3172819178935023      0.0061654325605204185
-0.48                     -0.5                     3.1583498403921276E-16   -4.958359459303481E-23   0.6133313814619288       -0.32265709853681357     0.6157866982034523       -0.3202012570225752      -0.32265709853681374     -0.3202012570225754      0.006133314081633885
-0.47                     -0.5                     3.0106597392371266E-16   -7.060738468839587E-23   0.6100900063875891       -0.32562199347967735     0.6125699872239441       -0.3231450209952474      -0.3256219934796775      -0.32314502099524756     0.006100900333453663
-0.46                     -0.5                     1.2760890771838524E-16   -3.3003469493027533E-23  0.606818859843554        -0.328611413516933       0.6093237159058345       -0.32611334857815777     -0.32861141351693307     -0.3261133485781578      0.006068188869121664
-0.45                     -0.5                     3.5463262283018757E-16   -1.2218300336661053E-22  0.6035176959292463       -0.33162548990864826     0.6060476378826068       -0.3291063874274174      -0.3316254899086485      -0.3291063874274176      0.006035177231861281
-0.44                     -0.5                     -2.4204408901924783E-16  9.603339569116453E-23    0.6001862674011289       -0.3346643601603596      0.6027415052620153       -0.3321242952352636      -0.33466436016035944     -0.33212429523526343     0.006001862947948274
-0.43                     -0.5                     -5.920887866643098E-17   2.921546746463412E-23    0.5968243255810987       -0.337728173886478       0.5994050685195712       -0.335167240960307       -0.33772817388647797     -0.3351672409603069      0.005968243530760312
-0.42                     -0.5                     1.4119041499358842E-16   -8.317790417335588E-23   0.5934316202553809       -0.34081708874335964     0.5960380763797352       -0.3382354060713025      -0.34081708874335975     -0.3382354060713026      0.00593431647859068
-0.41000000000000003      -0.5                     2.99145917855525E-18     -2.040134836010039E-24   0.5900078995610644       -0.34393127718755273     0.5926402756840462       -0.34132898592083705     -0.34393127718755273     -0.34132898592083705     0.005900079275675734
-0.4                      -0.5                     1.0560399641380382E-16   -8.538521184435124E-23   0.5865529098609931       -0.34707092170796805     0.5892114112451813       -0.34444819117149356     -0.3470709217079681      -0.3444481911714936      0.005865529384327038
-0.39                     -0.5                     -6.400716158105382E-17   6.027732930958734E-23    0.5830663956061447       -0.35023622254216724     0.5857512256864371       -0.3475932492848813      -0.3502362225421672      -0.3475932492848812      0.005830664249467623
-0.38                     -0.5                     1.340110606389912E-16    -1.446955289318341E-22   0.5795480991850749       -0.3534273919609883      0.5822594592663443       -0.35076440600315945     -0.3534273919609884      -0.3507644060031595      0.00579548129200809
-0.37                     -0.5                     -3.115153772275437E-16   3.762798861250825E-22    0.5759977607618285       -0.35664466305589454     0.5787358496879573       -0.35396192696743056     -0.3566446630558944      -0.3539619269674304      0.005759977915490292
-0.36                     -0.5                     -5.609631255935089E-16   7.9896301207408835E-22   0.5724151180982768       -0.35988828310966536     0.5751801318912912       -0.3571860994115096      -0.35988828310966503     -0.35718609941150925     0.005724151498471584
