% Model:              C1fullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 09:50
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u2, Gradient of u2, x component, Gradient of u2, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+u2x
-2                        0                        1.4993174364407515       6.311127622170258E-11    0.884213075565492        -0.0820312419326449      -5.582976624998357E-7    -1.407747323656891
-1.99                     0                        1.4993174670584004       8.245499127749062E-11    0.8833895475756215       -0.0826743560414493      -5.059211827970231E-7    -1.4071557349383965
-1.98                     0                        1.4993175008351358       1.479750063082195E-10    0.8825595781030202       -0.08332332486054432     6.741816532904751E-7     -1.4065603458400764
-1.97                     0                        1.499317538134624        1.4445251829269194E-10   0.8817230419408084       -0.08398390758176369     3.452061352301736E-7     -1.4059667281410284
-1.96                     0                        1.4993175790357043       1.366266475127142E-10    0.8808798993183561       -0.08464576869848597     -6.980865940998229E-10   -1.4053644867656987
-1.95                     0                        1.4993176241179584       1.7890286453151772E-10   0.8800300756061579       -0.08531897374113225     -5.109437361802704E-7    -1.4047635758513042
-1.94                     0                        1.4993176738464808       1.8406024672523397E-10   0.8791735191350806       -0.08599287159196335     6.244655542663532E-8     -1.404153267208997
-1.93                     0                        1.499317728315928        9.163544200385368E-11    0.878310160227763        -0.08668125251546478     1.1502613247366414E-6    -1.403547246704953
-1.92                     0                        1.4993177880291442       8.133469017366967E-11    0.8774398905910359       -0.08737267482995101     4.4402449923562206E-7    -1.4029339107194372
-1.91                     0                        1.4993178532382556       2.1155015780951174E-10   0.8765626841595002       -0.08807203752437322     -9.714123215422727E-7    -1.4023181193671583
-1.9                      0                        1.4993179250215936       1.7119601245868738E-10   0.8756784364509248       -0.08877807087627416     -1.8370563604305054E-6   -1.4016984472020282
-1.89                     0                        1.4993180033455928       7.28006638935119E-11     0.8747871123678348       -0.08948922602731428     8.774243327305612E-7     -1.4010732926951133
-1.88                     0                        1.499318088827596        1.7706295164631034E-10   0.8738886090383684       -0.09021285379654678     6.128368552573754E-7     -1.4004498529481595
-1.87                     0                        1.4993181822290922       1.6093001798215666E-10   0.872982852315995        -0.09093849067817512     -1.5454520795095407E-6   -1.3998175539297608
-1.8599999999999999       0                        1.4993182838735346       1.950916921678661E-10    0.8720697952893322       -0.09167546567879113     6.105098508085056E-7     -1.399185654569937
-1.85                     0                        1.4993183947545177       1.5880426434134938E-10   0.8711493234328582       -0.09241890561602695     3.0124713966642675E-7    -1.3985491108168642
-1.84                     0                        1.4993185154619555       1.559452941909455E-10    0.8702214063816581       -0.09316819780959491     1.0409579300031572E-6    -1.3979072649489577
-1.83                     0                        1.4993186466559834       1.1545625973889924E-10   0.8692859254004224       -0.093927998437566       4.2443849385788184E-7    -1.3972645956660215
-1.82                     0                        1.4993187889093467       1.572184346797012E-10    0.8683428298130433       -0.09469447499284964     -5.608835175394295E-7    -1.3966171949462567
-1.81                     0                        1.499318943853086        1.3276525734735663E-10   0.8673920196282474       -0.09546756196633167     -1.8719220138628993E-6   -1.395964848741951
-1.8                      0                        1.499319111773716        1.5498985510520442E-10   0.866433463330029        -0.09624833649406916     -5.910925692853261E-7    -1.3953085871450728
-1.79                     0                        1.4993192938603694       4.925183104465907E-10    0.8654670111826857       -0.09704209297459303     -3.553522433951139E-8    -1.3946534810404616
-1.78                     0                        1.4993194911906107       7.218993579673741E-11    0.864492621470537        -0.09783584945511607     5.200221277117307E-7     -1.3939864868163587
-1.77                     0                        1.4993197043600701       -5.669691385932163E-11   0.8635102386075072       -0.0986449621259932      1.742050202796192E-7     -1.3933228777868947
-1.76                     0                        1.499319934871415        1.0254882951359065E-10   0.8625197178861381       -0.0994591821478271      -5.552371976127382E-7    -1.3926521893941828
-1.75                     0                        1.4993201839814687       -2.4556028533040417E-10  0.8615210286152458       -0.1002818642390327      1.106351681999461E-6     -1.391977731366347
-1.74                     0                        1.4993204534323197       6.604638804956005E-11    0.8605140635117416       -0.10111263122542788     7.32664013785239E-7      -1.3912989671147402
-1.73                     0                        1.4993207434838145       -7.859370726543919E-10   0.8594987447072784       -0.10195396394727517     -6.394046524472369E-7    -1.390618260885197
-1.72                     0                        1.4993210566215507       3.9075594639812325E-11   0.8584749762856222       -0.10279972038397571     -5.536445120069865E-7    -1.3899293289116954
-1.71                     0                        1.4993213938039116       -7.341308486311312E-10   0.8574426932101457       -0.10365950368177057     3.6189121358531303E-7    -1.3892416775725858
-1.7                      0                        1.499321756361606        -3.902457558460333E-10   0.8564017845652176       -0.10452320171113315     3.572012383545285E-7     -1.3885450294966688
-1.69                     0                        1.4993221472132312       -5.376040026396916E-10   0.8553521749723705       -0.1053997752556315      -1.809720002645458E-6    -1.3878482348587133
-1.68                     0                        1.4993225663435068       -3.0658112530147015E-10  0.85429377261927         -0.10628210760001992     6.84919812349529E-7      -1.3871440391748202
-1.67                     0                        1.4993230164702869       -3.8862893578399004E-10  0.853226474475047        -0.10717752124456027     -5.689833080554456E-7    -1.386439612686796
-1.66                     0                        1.499323500355773        -4.259337508894428E-10   0.8521502201947216       -0.10807457102603212     3.228299380922036E-7     -1.385723421997325
-1.65                     0                        1.499324018266066        -7.212935887042484E-10   0.8510648933426216       -0.10899106174327783     1.5302805571280626E-6    -1.3850130974349182
-1.6400000000000001       0                        1.4993245739159322       -1.0106538629089312E-9   0.8499703972485037       -0.1099084710656611      1.9592053804278574E-7    -1.3842899747614295
