% Model:              C2DNSEps01Pe1.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 17:05
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2                       u2x                      u2y
-1                        -2                       1                        0                        0                        -2.0130803177781278E-10  0
-0.97                     -2                       0.9359660766004066       -0.13605656724426318     8.650404364157396E-11    6.023912031688512E-9     3.6131497764093263E-9
-0.94                     -2                       0.9017006541801705       -0.20822778049980922     3.8501155664995137E-10   2.234847491644279E-8     2.0785511407884393E-8
-0.91                     -2                       0.8793216684634765       -0.27734567680714306     1.4181712028152822E-9    6.866767860556663E-8     8.682740035308025E-8
-0.88                     -2                       0.8642085624298095       -0.3410462912233407      5.138298886468999E-9     1.4999351806435715E-7    2.8342376811018664E-7
-0.85                     -2                       0.8546188088743263       -0.4004095756462103      1.7762670126942226E-8    6.916312313005236E-7     7.346097217090932E-7
-0.8200000000000001       -2                       0.8497015065612041       -0.45587741890870825     5.202617361219275E-8     2.0449260118267174E-6    2.505587964302816E-6
-0.79                     -2                       0.8486350507151009       -0.5076125569345847      1.4292182903912424E-7    5.287807642293097E-6     7.585084270319954E-6
-0.76                     -2                       0.8507918878701493       -0.5555476510609835      3.7999345297045685E-7    1.1758678719813631E-5    2.0323928642120404E-5
-0.73                     -2                       0.855660873216855        -0.5996378320416891      1.0041776477378656E-6    2.164801073559446E-5     4.803430440159495E-5
-0.7                      -2                       0.8628295929518774       -0.6397463586064276      2.4080463591031582E-6    7.194323668875833E-5     1.0894490889715226E-4
-0.67                     -2                       0.8719216392836143       -0.6759895137115571      5.421917016154047E-6     1.5459015941471493E-4    2.6489314003843765E-4
-0.64                     -2                       0.8825977647127256       -0.7083670964571384      1.1715772420711431E-5    3.010405992921691E-4     5.898244410617473E-4
-0.61                     -2                       0.8945564840584408       -0.736889557726982       2.4588341239319156E-5    5.313487230038926E-4     0.0012086359513557182
-0.5800000000000001       -2                       0.9075255998212151       -0.7615561224587607      4.962487299166821E-5     0.0011377533938193832    0.0021701560041770913
-0.55                     -2                       0.9212669365783507       -0.7823973127257577      9.374235108048331E-5     0.0020385202134418808    0.00435680952169455
-0.52                     -2                       0.9355517600277334       -0.7995262978140488      1.7029260658518408E-4    0.00339608713476226      0.00818089874542035
-0.49                     -2                       0.9501639948527029       -0.8130141893027832      2.9941992455825584E-4    0.005289840766775946     0.014460412329031561
-0.45999999999999996      -2                       0.9649032164783875       -0.822947817313051       5.113754907707371E-4     0.007753932995690937     0.024229794877234142
-0.43000000000000005      -2                       0.9795788350755628       -0.8293770061454476      8.317755785945989E-4     0.013606072859233268     0.037655710717912315
-0.4                      -2                       0.994030136172196        -0.8324535930689724      0.0013033478133972216    0.01950912892587518      0.060832186775358586
-0.37                     -2                       1.0080946201519125       -0.8323125014869136      0.001982908219205302     0.026593083067765776     0.09389645572035804
-0.3400000000000001       -2                       1.0216200007425447       -0.8290905094838756      0.0029363362180814577    0.034653689610380296     0.13924877394186333
-0.31000000000000005      -2                       1.0344621889710501       -0.8229245911969367      0.004220517452871973     0.05095839270898716      0.18947480958276888
-0.28                     -2                       1.0464916614266093       -0.8139508851985631      0.005847758507915893     0.06394211317301471      0.26951877589098466
-0.25                     -2                       1.0576044035538885       -0.802368675801743       0.00790755667322196      0.07712400902805178      0.3704116665855638
-0.21999999999999997      -2                       1.067694828079071        -0.7883564063951914      0.010454939992480197     0.08978680237665056      0.4938902439338359
-0.19000000000000006      -2                       1.0766711693765394       -0.772101088685715       0.013531812393092474     0.10126755583726696      0.6409142587078063
-0.16000000000000003      -2                       1.0844424383601927       -0.7537773392488567      0.01703052859182882      0.13198019074515577      0.7857893888201537
-0.13                     -2                       1.0909561457746662       -0.7335905883760152      0.020971821251148628     0.14314674993489834      0.9829576248238027
-0.10000000000000009      -2                       1.0961657205867572       -0.7117494877622914      0.02537415180743497      0.15092961567444224      1.2031007150595792
-0.07000000000000006      -2                       1.100033654250085        -0.6884606908275398      0.03019788773410737      0.15595037389001032      1.4435902808898926
-0.040000000000000036     -2                       1.1025336966164292       -0.6639257961999919      0.03529395998838775      0.1837877763953484       1.6615965336361707
-0.010000000000000009     -2                       1.10364693845399         -0.6383498068533259      0.040473593349878684     0.18997417639313155      1.9295081093840771
0.020000000000000018      -2                       1.103396879780637        -0.6119232417043344      0.04571272964363653      0.17523057481544546      2.1986556013619896
0.050000000000000044      -2                       1.1017980146089132       -0.5848526280232594      0.05105438269859512      0.16892659942061813      2.4322773972508105
