% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              3001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c2, x component, Gradient of c2, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
0                         -1.957                   0                        0                        1.743400488192333E-10    2.0582992843615756E-9    5.714404454450525E-9
0                         -1.956                   0                        0                        1.8026551168165404E-10   2.257057815692784E-9     6.136521270389584E-9
0                         -1.955                   0                        0                        1.8661309136001244E-10   2.455816347023954E-9     6.5586380863285415E-9
0                         -1.954                   0                        0                        1.9338278785431128E-10   2.654574878355169E-9     6.9807549022676E-9
0                         -1.953                   0                        0                        2.0057460116454763E-10   2.85333340968634E-9      7.402871718206562E-9
0                         -1.952                   0                        0                        2.081885312907245E-10    3.05209194101755E-9      7.824988534145614E-9
0                         -1.951                   0                        0                        2.1622457823283878E-10   3.250850472348718E-9     8.247105350084578E-9
0                         -1.95                    0                        0                        2.2468274199089374E-10   3.449609003679929E-9     8.669222166023632E-9
0                         -1.949                   0                        0                        2.3356302256488585E-10   3.6483675350111E-9       9.091338981962596E-9
0                         -1.948                   0                        0                        2.4286541995481906E-10   3.847126066342315E-9     9.51345579790165E-9
0                         -1.947                   0                        0                        2.5258993416068917E-10   4.0458845976734874E-9    9.935572613840611E-9
0                         -1.946                   0                        0                        2.627365651825004E-10    4.244643129004696E-9     1.035768942977967E-8
0                         -1.945                   0                        0                        2.733053130202484E-10    4.443401660335867E-9     1.0779806245718627E-8
0                         -1.944                   0                        0                        2.842961776739378E-10    4.642160191667079E-9     1.1201923061657684E-8
0                         -1.943                   0                        0                        2.9570915914356365E-10   4.840918722998247E-9     1.1624039877596647E-8
0                         -1.942                   0                        0                        3.0754425742913125E-10   5.03967725432946E-9      1.2046156693535707E-8
0                         -1.941                   0                        0                        3.19801472530635E-10     5.23843578566063E-9      1.2468273509474663E-8
0                         -1.94                    0                        0                        3.3248080444808063E-10   5.437194316991842E-9     1.2890390325413722E-8
0                         -1.939                   0                        0                        3.455822531814624E-10    5.6359528483230136E-9    1.3312507141352681E-8
0                         -1.938                   0                        0                        3.5910581873078607E-10   5.834711379654228E-9     1.373462395729174E-8
0                         -1.937                   0                        0                        3.730515010960458E-10    6.033469910985387E-9     1.4156740773230699E-8
0                         -1.936                   0                        0                        3.874193002772477E-10    6.232228442316609E-9     1.457885758916976E-8
0                         -1.935                   0                        0                        4.0220921627438523E-10   6.430986973647779E-9     1.5000974405108715E-8
0                         -1.934                   0                        0                        4.174212490874652E-10    6.629745504978985E-9     1.5423091221047774E-8
0                         -1.933                   0                        0                        4.3305539871648073E-10   6.828504036310155E-9     1.584520803698673E-8
