% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-0.52                     -2                       0                        0                        3.48357114960236E-16     1.186014273152948E-14    2.9351012026768206E-14
-0.49                     -2                       0                        0                        8.100494424106263E-16    1.794343088137219E-14    5.452585672313812E-14
-0.45999999999999996      -2                       0                        0                        2.0368092183172565E-15   1.1818053479546079E-14   7.432685586538214E-14
-0.43000000000000005      -2                       0                        0                        4.3494120212955426E-15   1.423554667190068E-13    3.714691748375867E-13
-0.4                      -2                       0                        0                        8.704197575068583E-15    2.616231674630788E-13    7.603367353862403E-13
-0.37                     -2                       0                        0                        1.7537335574975802E-14   4.189019510709655E-13    1.4187344961855652E-12
-0.3400000000000001       -2                       0                        0                        3.6549840579161144E-14   5.258784016413592E-13    2.3467502703159198E-12
-0.31000000000000005      -2                       0                        0                        7.589410688844101E-14    2.0970726856439614E-12   6.431097077181793E-12
-0.28                     -2                       0                        0                        1.3811528544975725E-13   3.599148442512405E-12    1.2187549094808488E-11
-0.25                     -2                       0                        0                        2.5001512990187876E-13   5.637155718325417E-12    2.1696092107817732E-11
-0.21999999999999997      -2                       0                        0                        4.578833623602509E-13    7.752265126199653E-12    3.598245734171253E-11
-0.19000000000000006      -2                       0                        0                        8.597805198738468E-13    8.434322621883575E-12    5.477300146367848E-11
-0.16000000000000003      -2                       0                        0                        1.4900078993759244E-12   3.35808360115882E-11     1.3123640151663955E-10
-0.13                     -2                       0                        0                        2.4691290798790516E-12   4.9462303577440246E-11   2.205621572267495E-10
-0.10000000000000009      -2                       0                        0                        4.1184650856053056E-12   6.873709137454533E-11    3.615467437554632E-10
