% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              4001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-0.97                     -0.5                     0                        0                        0.9999999999981144       -1.3846346291757072E-10  1.0658141036401503E-14
-0.969                    -0.5                     0                        0                        0.9999999999979736       -1.4350653998462803E-10  2.4868995751603507E-14
-0.968                    -0.5                     0                        0                        0.9999999999979744       1.8527149750748425E-10   4.9998003094493774E-14
-0.967                    -0.5                     0                        0                        0.9999999999981428       1.5148538360243852E-10   3.45636201307821E-14
-0.966                    -0.5                     0                        0                        0.9999999999982773       1.176744007016412E-10    3.689280556115069E-14
-0.965                    -0.5                     0                        0                        0.999999999998378        8.387407594188025E-11    4.988013202792079E-14
-0.964                    -0.5                     0                        0                        0.9999999999984452       5.008085660947696E-11    4.865660377948888E-14
-0.963                    -0.5                     0                        0                        0.9999999999984783       1.6276979136037234E-11   4.032764817337821E-14
-0.962                    -0.5                     0                        0                        0.9999999999984777       -1.7521569266884298E-11  3.910411992490742E-14
-0.961                    -0.5                     0                        0                        0.9999999999984434       -5.130057774457243E-11   9.458882246071502E-15
-0.96                     -0.5                     0                        0                        0.9999999999983751       -8.511688971588795E-11   3.3104349749204216E-14
-0.959                    -0.5                     0                        0                        0.9999999999982728       -1.1891543811880948E-10  2.4775394143132427E-14
-0.958                    -0.5                     0                        0                        0.9999999999981374       -1.52713986521731E-10    2.355186589470052E-14
-0.957                    -0.5                     0                        0                        0.9999999999979672       -1.8652674577936774E-10  2.5881051325010787E-14
-0.956                    -0.5                     0                        0                        0.9999999999977643       -2.203124155952036E-10   2.5545701496279006E-14
-0.955                    -0.5                     0                        0                        0.999999999997527        -2.541158489794334E-10   2.1657637988766168E-14
-0.954                    -0.5                     0                        0                        0.999999999997256        -2.879195044082683E-10   1.7769574481117233E-14
-0.953                    -0.5                     0                        0                        0.999999999996951        -3.217214389914149E-10   6.998128220857945E-15
-0.952                    -0.5                     0                        0                        0.9999999999966125       -3.5551615712490143E-10  2.0873633107398647E-14
-0.951                    -0.5                     0                        0                        0.9999999999962401       -3.893198125537363E-10   1.7207614204674743E-14
-0.95                     -0.5                     0                        0                        0.9999999999958338       -4.2311258779692977E-10  1.2875461487311839E-14
