% Model:              C2DNSEps002PeEps.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 14:02
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
-1                        -2                       1                        0                        0                        -2.0130798304008668E-10  0
-0.97                     -2                       0.9359660766004066       -0.13605656724426327     8.650401062590195E-11    6.023909650407042E-9     3.6131484890120645E-9
-0.94                     -2                       0.9017006541801705       -0.20822778049980928     3.8501140150150257E-10   2.234846487568766E-8     2.0785503126311818E-8
-0.91                     -2                       0.8793216684634764       -0.27734567680714317     1.4181705874910088E-9    6.866764392739972E-8     8.682735909367266E-8
-0.88                     -2                       0.8642085624298095       -0.3410462912233408      5.13829632164742E-9      1.4999344701612843E-7    2.8342360609091203E-7
-0.85                     -2                       0.8546188088743263       -0.4004095756462105      1.77626592311243E-8      6.91630746948996E-7      7.346093127894511E-7
-0.8200000000000001       -2                       0.849701506561204        -0.4558774189087084      5.2026136133154945E-8    2.0449242321225626E-6    2.5055862227224323E-6
-0.79                     -2                       0.8486350507151009       -0.5076125569345848      1.4292170813384273E-7    5.28780197145566E-6      7.5850775743042904E-6
-0.76                     -2                       0.8507918878701491       -0.5555476510609837      3.7999306706298877E-7    1.1758664048266099E-5    2.0323905788511316E-5
-0.73                     -2                       0.855660873216855        -0.5996378320416893      1.0041763305893278E-6    2.164798664302899E-5     4.803423710746003E-5
-0.7                      -2                       0.8628295929518773       -0.6397463586064278      2.4080423706505355E-6    7.194308269438477E-5     1.0894473823077444E-4
-0.67                     -2                       0.8719216392836143       -0.6759895137115574      5.421905800264548E-6     1.545897215421579E-4     2.648925849663961E-4
-0.64                     -2                       0.8825977647127256       -0.7083670964571386      1.171574192757205E-5     3.010395038734742E-4     5.898227970982016E-4
-0.61                     -2                       0.8945564840584408       -0.7368895577269822      2.458825808301672E-5     5.313464341616584E-4     0.0012086315741897521
-0.5800000000000001       -2                       0.9075255998212151       -0.7615561224587609      4.962464738065255E-5     0.0011377461856807356    0.0021701467816391713
-0.55                     -2                       0.9212669365783506       -0.7823973127257579      9.374179501503049E-5     0.0020385022494306872    0.004356783871512103
-0.52                     -2                       0.9355517600277333       -0.799526297814049       1.7029128919891442E-4    0.0033960463746286204    0.008180832797635998
-0.49                     -2                       0.9501639948527026       -0.8130141893027835      2.9941686867507197E-4    0.0052897577758599075    0.014460256289802654
-0.45999999999999996      -2                       0.9649032164783873       -0.8229478173130511      5.113684186863381E-4     0.007753785614001446     0.02422945751350405
-0.43000000000000005      -2                       0.9795788350755626       -0.8293770061454477      8.317601453846726E-4     0.013605662832554271     0.03765502648312811
-0.4                      -2                       0.9940301361721959       -0.8324535930689725      0.001303315752123262     0.01950830591071531      0.06083065938528525
-0.37                     -2                       1.0080946201519125       -0.8323125014869136      0.001982843508146404     0.026591555082123935     0.09389326848324969
-0.3400000000000001       -2                       1.0216200007425444       -0.8290905094838759      0.002936208083330126     0.03465107669304185      0.1392425567451523
-0.31000000000000005      -2                       1.0344621889710501       -0.822924591196937       0.004220269654387575     0.05095302804412123      0.18946401007624344
-0.28                     -2                       1.0464916614266093       -0.8139508851985633      0.005847304989888918     0.06393266870130329      0.2694977710068125
-0.25                     -2                       1.0576044035538885       -0.8023686758017432      0.007906750969850614     0.07710836831626508      0.37037301909129544
-0.21999999999999997      -2                       1.067694828079071        -0.7883564063951918      0.01045354288520757      0.0897623789550362       0.493822793680001
-0.19000000000000006      -2                       1.0766711693765394       -0.7721010886857153      0.013529439599929435     0.10123148121658476      0.6408022561308926
-0.16000000000000003      -2                       1.0844424383601925       -0.7537773392488569      0.017026651523057167     0.1319159803252635       0.7856117129639536
-0.13                     -2                       1.090956145774666        -0.7335905883760154      0.020965692914362434     0.14305227646667365      0.9826674925238825
-0.10000000000000009      -2                       1.096165720586757        -0.7117494877622915      0.02536469447516071      0.15079661538581934      1.2026458588271278
-0.07000000000000006      -2                       1.100033654250085        -0.6884606908275402      0.03018361165604468      0.1557698432754823       1.4429033241674138
-0.040000000000000036     -2                       1.1025336966164292       -0.6639257961999921      0.035272935404286984     0.183518406607338        1.6606237518793392
-0.010000000000000009     -2                       1.1036469384539898       -0.6383498068533261      0.040443612586131224     0.18961292583316333      1.9280873822752618
0.020000000000000018      -2                       1.1033968797806368       -0.6119232417043348      0.045670974619665676     0.1747792485029386       2.1966344939413753
0.050000000000000044      -2                       1.101798014608913        -0.5848526280232597      0.050997327767053444     0.168367316942242        2.429549332765291
0.08000000000000007       -2                       1.0988837676749117       -0.5573159117628207      0.056270440932402147     0.1503589737442697       2.7012013804512525
0.10999999999999988       -2                       1.0946813638417574       -0.5295127892512328      0.0611111900912576       0.17235763684609628      2.9217717398545813
0.1399999999999999        -2                       1.0892529041962018       -0.5015940579377435      0.06565661852390606      0.15173015956181546      3.1579535623241832
0.16999999999999993       -2                       1.0826630901016978       -0.47371787781405034     0.06987712045580825      0.128958261653708        3.3752904570518787
0.19999999999999996       -2                       1.074981770198347        -0.4460302050970037      0.07372123672862255      0.10522704976064899      3.5715861098950072
0.22999999999999998       -2                       1.0662809518763303       -0.41867300055100676     0.07704090835610959      0.11608439207182093      3.734609097833675
0.26                      -2                       1.0566330451324712       -0.39177320135202864     0.079694008661204        0.08948161640986976      3.880339294309427
0.29000000000000004       -2                       1.0461298392635388       -0.36541695859847717     0.08188650989642801      0.06392177247476978      3.9985175444501726
0.31999999999999984       -2                       1.0348576742527185       -0.33969883806076046     0.08359832033650964      0.04003831911587154      4.089487331695244
0.34999999999999987       -2                       1.022903723567651        -0.31469947736669884     0.08481874241771806      0.018209408424826493     4.153879381190615
0.3799999999999999        -2                       1.0103462443992912       -0.2905096658882938      0.08538695630174516      0.01967151717698414      4.205373859177806
