% Model:              C2DNSEps002PeEps.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 16:15
% Dimension:          2
% Nodes:              4001
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, , , Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+0.02*u2x
-0.974                    -0.5                     0.9979319357279863       -2.6849289737776773E-6   0.9999999735527831       -1.5810685649597644E-6   -5.682210257873521E-11   -0.9979319409568354
-0.973                    -0.5                     0.9977712655541212       -2.7858163359643425E-6   0.9999999719500269       -1.6244430280920596E-6   -5.900702149119752E-11   -0.9977712700555247
-0.972                    -0.5                     0.9976045858068988       -2.8865274658114815E-6   0.999999970303897        -1.6678174610262886E-6   -6.119904583101743E-11   -0.9976045895382795
-0.971                    -0.5                     0.9974318964863186       -2.9870623633189106E-6   0.999999968614392        -1.711191943698509E-6    -6.338041202980094E-11   -0.997431899405151
-0.97                     -0.5                     0.997253197592381        -3.0874210284866813E-6   0.9999999668815128       -1.7545663819618085E-6   -6.556177822858444E-11   -0.9972531996561913
-0.969                    -0.5                     0.997068489125086        -3.187603461314776E-6    0.9999999651052596       -1.7979408433177468E-6   -6.776090799576195E-11   -0.9970684902914567
-0.968                    -0.5                     0.9968779561049218       -3.287600385876629E-6    0.9999999634977852       -1.3688736786066985E-6   -4.9931558523100825E-12  -0.9968779470941421
-0.967                    -0.5                     0.9966820440037892       -3.387417031504839E-6    0.9999999620645679       -1.4975606526628857E-6   -1.9146841784950847E-11  -0.9966820361454383
-0.966                    -0.5                     0.9964806633402248       -3.487068811952497E-6    0.9999999605026637       -1.626247608955504E-6    -3.334316028173722E-11   -0.9964806565068451
-0.965                    -0.5                     0.9962738141142284       -3.5865557272197056E-6   0.9999999588120726       -1.7549345812353347E-6   -4.750750435541438E-11   -0.9962738081784666
-0.964                    -0.5                     0.9960614963258005       -3.6858777773063975E-6   0.9999999569927948       -1.8836215357515966E-6   -6.167540114277034E-11   -0.9960614911604101
-0.963                    -0.5                     0.9958437099749404       -3.7850349622125982E-6   0.9999999550448295       -2.012308520465925E-6    -7.586816692646165E-11   -0.9958437054527871
-0.962                    -0.5                     0.9956204550616485       -3.884027281938212E-6    0.9999999529681776       -2.1409954803112575E-6   -9.002362921594182E-11   -0.9956204510557137
-0.961                    -0.5                     0.9953917315859251       -3.9828547364834E-6      0.9999999507628387       -2.2696824294984486E-6   -1.0418974964616652E-10  -0.9953917279693104
-0.96                     -0.5                     0.9951575395477696       -4.081517325847794E-6    0.9999999484288129       -2.39836940710735E-6     -1.1837008093198201E-10  -0.9951575361937022
-0.959                    -0.5                     0.994917878947182        -4.180015050032089E-6    0.9999999459661          -2.5270563793871798E-6   -1.3256284671479772E-10  -0.9949178757290164
-0.958                    -0.5                     0.9946727497841629       -4.278347909035698E-6    0.9999999433747001       -2.6557433490024753E-6   -1.4670942722008088E-10  -0.9946727465753871
-0.957                    -0.5                     0.9944221520587119       -4.376515902858849E-6    0.9999999406546132       -2.784430311512343E-6    -1.609057457171591E-10   -0.9944221487329509
-0.956                    -0.5                     0.9941660857708288       -4.4745190315012286E-6   0.9999999378058393       -2.9131172842362626E-6   -1.7507630703992012E-10  -0.9941660822018492
-0.955                    -0.5                     0.9939045509205139       -4.572357294962846E-6    0.9999999348283785       -3.041804248966577E-6    -1.8924375973872294E-10  -0.9939045469822276
-0.954                    -0.5                     0.9936375475077673       -4.670030693244733E-6    0.9999999317222308       -3.170491203926928E-6    -2.0341476515069378E-10  -0.9936375430742362
-0.953                    -0.5                     0.9933650755325889       -4.767539226345663E-6    0.9999999284873963       -3.2991781752630683E-6   -2.1759287598960268E-10  -0.9933650704780294
-0.952                    -0.5                     0.9930871349949788       -4.864882894266569E-6    0.9999999251238747       -3.4278651448228523E-6   -2.3177809225630696E-10  -0.993087129193765
-0.951                    -0.5                     0.9928037258949363       -4.962061697006583E-6    0.9999999216316658       -3.556552114327125E-6    -2.459313340999203E-10   -0.9928037192216044
-0.95                     -0.5                     0.9925148482324623       -5.059075634565924E-6    0.9999999180107704       -3.6852390837203756E-6   -2.6012010308028516E-10  -0.9925148405617162
-0.949                    -0.5                     0.9922205020075564       -5.155924706944817E-6    0.9999999142611877       -3.8139260391248164E-6   -2.7428444715410824E-10  -0.9922204932142699
-0.948                    -0.5                     0.9919206872202186       -5.25260891414348E-6     0.9999999103829181       -3.942613008740111E-6    -2.8846211390422683E-10  -0.9919206771794413
-0.947                    -0.5                     0.9916154038704488       -5.349128256161035E-6    0.9999999063759617       -4.071299985460834E-6    -3.0263978065449136E-10  -0.9916153924574099
-0.946                    -0.5                     0.9913046519582474       -5.445482732998468E-6    0.9999999022403181       -4.199986947970701E-6    -3.1681478286920495E-10  -0.9913046390483589
-0.945                    -0.5                     0.990988431483614        -5.541672344655455E-6    0.9999998979759878       -4.328673916697818E-6    -3.309862323705316E-10   -0.9909884169524765
-0.944                    -0.5                     0.9906667424465491       -5.637697091131766E-6    0.9999998935829706       -4.457360878319508E-6    -3.45161234585537E-10    -0.9906667261699548
-0.943                    -0.5                     0.9903395848470519       -5.733556972428065E-6    0.9999998890612662       -4.586047841717554E-6    -3.593273550160536E-10   -0.9903395667009892
-0.942                    -0.5                     0.990006958685123        -5.829251988544037E-6    0.9999998844108748       -4.714734813997384E-6    -3.735076863004098E-10   -0.990006938545781
-0.941                    -0.5                     0.9896688639607621       -5.924782139478536E-6    0.9999998796317965       -4.843421773842717E-6    -3.876755830889332E-10   -0.9896688417045344
-0.94                     -0.5                     0.9893253006739696       -6.020147425233174E-6    0.9999998747240312       -4.972108747898903E-6    -4.0184703258938424E-10  -0.989325276177459
-0.9390000000000001       -0.5                     0.9889762688247452       -6.115347845806578E-6    0.9999998696875789       -5.1007957201787156E-6   -4.160291402022687E-10   -0.9889762419647676
-0.938                    -0.5                     0.9886217684130887       -6.210383401199987E-6    0.9999998645224397       -5.229482688905851E-6    -4.3020058973365763E-10  -0.9886217390666773
-0.937                    -0.5                     0.9882617994390007       -6.305254091413239E-6    0.9999998592286137       -5.358169646974808E-6    -4.443720392037545E-10   -0.9882617674834101
-0.9359999999999999       -0.5                     0.9878966656357532       -6.39996248629571E-6     0.9999998539199341       -5.383866495444825E-6    -4.6372028957179597E-10  -0.9878966290010731
-0.935                    -0.5                     0.9875265513219446       -6.4945174281720954E-6   0.9999998484385181       -5.57896579092985E-6     -4.838752740983992E-10   -0.9875265132302727
-0.9339999999999999       -0.5                     0.987151440879007        -6.588919314643681E-6    0.9999998427620023       -5.7740650881912676E-6   -5.040302586833698E-10   -0.9871514011425927
-0.933                    -0.5                     0.9867713343069414       -6.683168145707944E-6    0.9999998368903877       -5.9691643765708645E-6   -5.241887959230681E-10   -0.9867712927383392
-0.9319999999999999       -0.5                     0.9863862316057471       -6.777263921367662E-6    0.9999998308236736       -6.164263673832282E-6    -5.443508859353962E-10   -0.9863861880178215
-0.931                    -0.5                     0.9859961327754246       -6.871206641620185E-6    0.9999998245618603       -6.359362963988236E-6    -5.645165286018686E-10   -0.9859960869813567
-0.9299999999999999       -0.5                     0.985601037815974        -6.96499630646772E-6     0.9999998181049481       -6.554462268355081E-6    -5.846697368299997E-10   -0.9856009896292673
-0.929                    -0.5                     0.9852009467273944       -7.058632915908503E-6    0.9999998114529361       -6.749561557622857E-6    -6.048211686423405E-10   -0.9852008959618799
-0.9279999999999999       -0.5                     0.9847958595096866       -7.152116469942727E-6    0.9999998046058248       -6.94466085754881E-6     -6.249850350120917E-10   -0.9847958059795291
-0.927                    -0.5                     0.9843857761628498       -7.245446968571467E-6    0.9999997975636142       -7.139760152145656E-6    -6.451435722506228E-10   -0.9843857196825541
-0.926                    -0.5                     0.9839706966868853       -7.338624411794457E-6    0.9999997903263045       -7.334859450295234E-6    -6.652958922712965E-10   -0.9839706370713021
-0.925                    -0.5                     0.983550621081792        -7.431648799611071E-6    0.9999997828938956       -7.529958742227563E-6    -6.854482122918243E-10   -0.983550558146123
-0.924                    -0.5                     0.9831255493475702       -7.5245201320208864E-6   0.9999997752663871       -7.725058040821232E-6    -7.056182958807461E-10   -0.9831254829073744
-0.923                    -0.5                     0.9826954814842199       -7.617238409026613E-6    0.999999767443779        -7.920157335862184E-6    -7.257737245248673E-10   -0.9826954113554192
-0.922                    -0.5                     0.9822604174917418       -7.709803630623707E-6    0.9999997594260724       -8.115256624130779E-6    -7.459267106801218E-10   -0.9822603434906276
-0.921                    -0.5                     0.9818203573701344       -7.802215796816811E-6    0.999999751213266        -8.310355929927016E-6    -7.66078919677426E-10    -0.9818202793133729
-0.92                     -0.5                     0.9813753011193987       -7.894474907603334E-6    0.9999997428053601       -8.505455219652777E-6    -7.862491142881852E-10   -0.9813752188240359
-0.919                    -0.5                     0.9809252487395351       -7.98658096298427E-6     0.9999997342023556       -8.700554516470088E-6    -8.064083176909914E-10   -0.980925162023005
-0.918                    -0.5                     0.9804702002305424       -8.078533962957952E-6    0.9999997254042513       -8.895653820836915E-6    -8.2656063771203E-10     -0.9804701089106701
-0.917                    -0.5                     0.9800101555924219       -8.170333907525842E-6    0.9999997164110479       -9.090753101667014E-6    -8.467307213009517E-10   -0.9800100594874308
-0.916                    -0.5                     0.9795451148251725       -8.261980796688214E-6    0.9999997072227451       -9.285852406033841E-6    -8.668839294993155E-10   -0.9795450137536909
-0.915                    -0.5                     0.9790750779287949       -8.353474630444122E-6    0.9999996978393432       -9.480951697077992E-6    -8.870300322709054E-10   -0.9790749717098601
-0.914                    -0.5                     0.9786000449032884       -8.444815408794652E-6    0.9999996882608416       -9.67605100677389E-6     -9.071956749674369E-10   -0.9785999333563542
-0.913                    -0.5                     0.9781200157486541       -8.536003131738578E-6    0.9999996784872411       -9.871150282719008E-6    -9.273755285189753E-10   -0.978119898693595
-0.912                    -0.5                     0.977634990464891        -8.627037799276473E-6    0.9999996685185414       -1.0066249592414905E-5   -9.475091967926894E-10   -0.9776348677220102
-0.911                    -0.5                     0.9771449690519995       -8.717919411409E-6       0.9999996583547421       -1.0261348866583666E-5   -9.676481941366298E-10   -0.977144840442032
-0.91                     -0.5                     0.9766499515099794       -8.808647968135032E-6    0.9999996479958434       -1.0456448185161346E-5   -9.87838705828621E-10    -0.9766498168541006
-0.909                    -0.5                     0.9761499378388309       -8.899223469454993E-6    0.9999996374418455       -1.0651547473540962E-5   -1.0079901376701455E-9   -0.9761497969586603
-0.908                    -0.5                     0.9756449280385542       -8.989645915368846E-6    0.9999996266927482       -1.0846646769026005E-5   -1.0281486749396113E-9   -0.9756447807561628
-0.907                    -0.5                     0.9751349221091488       -9.079915305876743E-6    0.9999996157485519       -1.1041746064511048E-5   -1.048303659495398E-9    -0.9751347682470641
-0.906                    -0.5                     0.9746199200506152       -9.170031640978595E-6    0.9999996046092563       -1.1236845367101518E-5   -1.0684515386232437E-9   -0.9746197594318274
-0.905                    -0.5                     0.9741000236373967       -9.25999106638053E-6     0.9999995937622218       -9.83226219942693E-6     -8.226385785617183E-10   -0.9740998245664113
-0.904                    -0.5                     0.9735756799391263       -9.349791331312057E-6    0.9999995836854341       -1.0321313277913798E-5   -9.032833215746203E-10   -0.9735754810516553
-0.903                    -0.5                     0.9730468143711972       -9.439443224720735E-6    0.9999995731195953       -1.0810364342189812E-5   -9.83864115749011E-10    -0.9730466152038661
-0.902                    -0.5                     0.9725134269336102       -9.528946746606346E-6    0.9999995620647054       -1.1299415436663889E-5   -1.064491095193519E-9    -0.9725132270239648
-0.901                    -0.5                     0.9719755176263646       -9.618301896968958E-6    0.9999995505207645       -1.1788466499163547E-5   -1.145128732782917E-9    -0.9719753165128819
-0.9                      -0.5                     0.9714330864494606       -9.707508675808213E-6    0.9999995384877721       -1.2277517572321344E-5   -1.2257415013727098E-9   -0.9714328836715641
-0.899                    -0.5                     0.9708861334028981       -9.79656708312501E-6     0.999999525965729        -1.2766568663242708E-5   -1.3063844680345527E-9   -0.9708859285009709
-0.898                    -0.5                     0.9703346584866777       -9.885477118919158E-6    0.9999995129546349       -1.3255619734624148E-5   -1.3869830257677037E-9   -0.9703344510020743
-0.897                    -0.5                     0.9697786617007985       -9.974238783189093E-6    0.9999994994544898       -1.3744670811334658E-5   -1.4676171106434227E-9   -0.9697784511758598
-0.896                    -0.5                     0.969218143045261        -1.0062852075936883E-5   0.9999994854652934       -1.4233721869393424E-5   -1.548242313734945E-9    -0.9692179290233255
-0.895                    -0.5                     0.9686531025200654       -1.0151316997160756E-5   0.9999994709870463       -1.4722772948768468E-5   -1.6288692931813798E-9   -0.9686528845454856
-0.894                    -0.5                     0.9680835401252114       -1.0239633546863019E-5   0.9999994560197477       -1.5211824035248942E-5   -1.7094811735966063E-9   -0.9680833177433636
-0.893                    -0.5                     0.9675094558606985       -1.0327801725041477E-5   0.999999440563398        -1.5700875111515363E-5   -1.7901152584694354E-9   -0.9675092286179983
-0.892                    -0.5                     0.9669308497265275       -1.0415821531697384E-5   0.9999994246179973       -1.6189926191334497E-5   -1.870722697990637E-9    -0.9669306171704425
-0.891                    -0.5                     0.9663477217226984       -1.0503692966830137E-5   0.9999994081835456       -1.667897726382616E-5    -1.9513461247224295E-9   -0.9663474834017614
-0.89                     -0.5                     0.9657600718492106       -1.0591416030440593E-5   0.9999993912600429       -1.716802834014809E-5    -2.031976878926305E-9    -0.9657598273130327
-0.889                    -0.5                     0.9651679001060647       -1.0678990722526338E-5   0.9999993738474889       -1.765707941824638E-5    -2.1125963088584604E-9   -0.9651676489053489
-0.888                    -0.5                     0.9645712064932604       -1.0766417043090511E-5   0.9999993559458838       -1.8146130490849065E-5   -2.1932155167432413E-9   -0.9645709481798145
-0.887                    -0.5                     0.9639699910107977       -1.0853694992130334E-5   0.9999993375552279       -1.863518155978802E-5    -2.2738460489081716E-9   -0.9639697251375479
-0.886                    -0.5                     0.9633642536586766       -1.0940824569647973E-5   0.9999993186755209       -1.9124232632945814E-5   -2.354468587462508E-9    -0.9633639797796809
-0.885                    -0.5                     0.962753994436897        -1.1027805775643569E-5   0.9999992993067626       -1.961328371587357E-5    -2.435088461473878E-9    -0.962753712107358
-0.884                    -0.5                     0.9621392133454592       -1.1114638610114455E-5   0.9999992794489533       -2.0102334785478655E-5   -2.515707447320316E-9    -0.9621389221217376
-0.883                    -0.5                     0.9615199103843631       -1.1201323073062685E-5   0.9999992591020932       -2.05913858648537E-5     -2.596327321339393E-9    -0.9615196098239914
-0.882                    -0.5                     0.9608960855536083       -1.1287859164488374E-5   0.9999992382661814       -2.108043694866964E-5    -2.6769471953623237E-9   -0.9608957752153027
-0.881                    -0.5                     0.9602677388531955       -1.1374246884390683E-5   0.9999992169412192       -2.156948801383383E-5    -2.7575706220950796E-9   -0.9602674182968709
-0.88                     -0.5                     0.9596348702831244       -1.1460486232769404E-5   0.9999991951272056       -2.2058539097649772E-5   -2.8382047069746523E-9   -0.9596345390699067
-0.879                    -0.5                     0.9589974798433945       -1.154657720962626E-5    0.9999991728241407       -2.254759016903121E-5    -2.91882280463689E-9     -0.9589971375356334
-0.878                    -0.5                     0.9583555675340063       -1.1632519814959395E-5   0.9999991500320252       -2.3036641242189008E-5   -2.9994426786540407E-9   -0.9583552136952903
-0.877                    -0.5                     0.9577091333549603       -1.1718314048770457E-5   0.9999991267508587       -2.352569232422859E-5    -3.0800589999575126E-9   -0.9577087675501285
-0.876                    -0.5                     0.9570581773062551       -1.1803959911057027E-5   0.9999991029806403       -2.4014743406268172E-5   -3.160693084837085E-9    -0.9570577991014098
-0.875                    -0.5                     0.956402699387892        -1.1889457401822699E-5   0.9999990787213716       -2.450379447232054E-5    -3.2413058534307314E-9   -0.9564023083504144
-0.874                    -0.5                     0.9557426995998706       -1.1974806521063934E-5   0.9999990539730517       -2.4992845545478337E-5   -3.3219328328752396E-9   -0.9557422952984319
-0.873                    -0.5                     0.9550783620044933       -1.2060009765223306E-5   0.9999990289739946       -2.5187175941390662E-5   -3.4163292517217646E-9   -0.9550779383420853
-0.872                    -0.5                     0.9544099043085426       -1.2145068888129582E-5   0.9999990034979905       -2.576483240499189E-5    -3.5158491790328063E-9   -0.9544094685338032
-0.871                    -0.5                     0.9537373102957286       -1.222998348173506E-5    0.9999989774443296       -2.634248887036948E-5    -3.6153762117789117E-9   -0.9537368618960113
-0.87                     -0.5                     0.953060579966052        -1.231475354604192E-5    0.9999989508130125       -2.6920145333970705E-5   -3.714889033662596E-9    -0.9530601184301999
-0.869                    -0.5                     0.9523797133195125       -1.2399379081048847E-5   0.9999989236040391       -2.7497801788690157E-5   -3.814423171839912E-9    -0.9523792381378717
-0.868                    -0.5                     0.9516947103561099       -1.2483860086758605E-5   0.9999988958174089       -2.8075458252291383E-5   -3.913943099150954E-9    -0.9516942210205437
-0.867                    -0.5                     0.9510055710758447       -1.2568196563171131E-5   0.9999988674531227       -2.8653114714116253E-5   -4.013466579173748E-9    -0.9510050670797492
-0.866                    -0.5                     0.950312295478716        -1.2652388510283684E-5   0.9999988385111794       -2.9230771167059345E-5   -4.112988282847409E-9    -0.950311776317032
-0.865                    -0.5                     0.9496148835647249       -1.2736435928096368E-5   0.9999988089915801       -2.980842763332511E-5    -4.2125135392366744E-9   -0.9496143487339556
-0.864                    -0.5                     0.9489133353338708       -1.282033881661052E-5    0.9999987788943243       -3.038608409248545E-5    -4.312040571980854E-9    -0.9489127843320931
-0.863                    -0.5                     0.9482076507861538       -1.2904097175827544E-5   0.9999987482194121       -3.096374054809307E-5    -4.411555170221377E-9    -0.9482070831130343
-0.862                    -0.5                     0.9474978299215738       -1.2987711005744594E-5   0.9999987169668434       -3.154139700725341E-5    -4.5110813147871365E-9   -0.9474972450783823
-0.861                    -0.5                     0.946783872740131        -1.307118030636199E-5    0.9999986851366179       -3.211905347396326E-5    -4.6106039066392165E-9   -0.9467832702297554
-0.86                     -0.5                     0.9460657792418253       -1.3154505077682948E-5   0.9999986527287362       -3.26967099371204E-5     -4.7101300511991966E-9   -0.9460651585687861
-0.859                    -0.5                     0.9453435494266565       -1.3237685319703244E-5   0.999998619743198        -3.327436639628074E-5    -4.809648868293234E-9    -0.9453429100971201
-0.858                    -0.5                     0.9446171832946251       -1.3320721032425838E-5   0.9999985861800034       -3.38520228591742E-5     -4.909178496183974E-9    -0.9446165248164193
-0.857                    -0.5                     0.9438866808457305       -1.3403612215848599E-5   0.9999985520391524       -3.442967932736898E-5    -5.008694051994746E-9    -0.9438860027283587
-0.856                    -0.5                     0.9431520420799729       -1.3486358869973226E-5   0.9999985173206447       -3.50073357884167E-5     -5.108202210944616E-9    -0.943151343834627
-0.855                    -0.5                     0.9424132669973528       -1.3568960994799933E-5   0.9999984820244808       -3.558499224446842E-5    -5.207738569562684E-9    -0.9424125481369294
-0.854                    -0.5                     0.9416703555978695       -1.3651418590326155E-5   0.9999984461506605       -3.616264871073418E-5    -5.307257608701085E-9    -0.9416696156369836
-0.853                    -0.5                     0.9409233078815233       -1.3733731656554857E-5   0.9999984096991834       -3.674030515390731E-5    -5.406772206944498E-9    -0.9409225463365215
-0.852                    -0.5                     0.9401721238483142       -1.3815900193484413E-5   0.9999983726700499       -3.7317961623725786E-5   -5.506297463331838E-9    -0.9401713402372913
-0.851                    -0.5                     0.9394168034982424       -1.3897924201115871E-5   0.9999983350632601       -3.789561808910337E-5    -5.605833377858288E-9    -0.939415997341054
-0.85                     -0.5                     0.9386573468313076       -1.3979803679447893E-5   0.999998296878814        -3.84732745527046E-5     -5.705358634245627E-9    -0.938656517649585
-0.849                    -0.5                     0.9378937538475096       -1.4061538628480733E-5   0.9999982581167111       -3.9050931009200405E-5   -5.804882114274201E-9    -0.9378929011646732
-0.848                    -0.5                     0.9371260245468492       -1.4143129048216267E-5   0.9999982187769518       -3.962858746924892E-5    -5.90438783073438E-9     -0.9371251478881246
