% Model:              C1noStruct.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 15 2021, 09:31
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  c (mol/m^3)              cx (mol/m^4)             cy (mol/m^4)             -u*c+cx
-2                        0                        1.4995576771290111       1.0919356877716938E-11   0.9439418535666654       -0.018463902202621056    1.4465501496238948E-9    -1.433959155481903
-1.99                     0                        1.4995576771518946       1.0692437643995655E-11   0.9437572333677484       -0.018460137580757322    -3.820963258194073E-9    -1.4336785422449967
-1.98                     0                        1.4995576771727697       1.054187040629534E-11    0.9435726505636133       -0.018456458522715876    -4.483903068703653E-8    -1.4333980706456413
-1.97                     0                        1.4995576771918353       1.0256024921578344E-11   0.9433881053286983       -0.018452632374523693    -4.2345268369475215E-8   -1.4331175082916332
-1.96                     0                        1.4995576772092267       1.0092879631615228E-11   0.9432035975911511       -0.018448896073655754    2.609671546130237E-8     -1.4328370920128286
-1.95                     0                        1.4995576772249848       9.838670858831767E-12    0.9430191274305102       -0.01844513930332504     5.352001783347391E-9     -1.432556711611753
-1.94                     0                        1.499557677239362        9.620916866212398E-12    0.9428346946961081       -0.018441390623180513    -3.3794396251623795E-8   -1.4322763954223596
-1.93                     0                        1.4995576772524306       9.380731284268453E-12    0.9426502994283654       -0.018437658260390198    1.8662062523099615E-8    -1.4319961517324982
-1.92                     0                        1.4995576772642616       9.131866872931048E-12    0.9424659418291451       -0.018433861583658992    -1.4155442229302702E-10  -1.4317159002136466
-1.91                     0                        1.4995576772749384       8.944248036457585E-12    0.9422816218636823       -0.018430130398486975    -6.142726618016873E-9    -1.4314357706192522
-1.9                      0                        1.499557677284623        8.673375116070774E-12    0.9420973393160491       -0.018426391400607374    2.008115863306314E-8     -1.4311556893214052
-1.89                     0                        1.4995576772933543       8.437681300621278E-12    0.941913094287405        -0.018422615545644064    -4.937067449863206E-9    -1.4308756274274614
-1.88                     0                        1.499557677301255        8.21339012429141E-12     0.9417288869338564       -0.018418855164070286    -6.13494506650628E-9     -1.4305956375021003
-1.87                     0                        1.4995576773083774       7.970174758706493E-12    0.9415447171046483       -0.01841511857440244     -1.0197854878011675E-7   -1.430315727637822
-1.8599999999999999       0                        1.499557677314746        7.736164707417448E-12    0.9413605846711608       -0.018411353472469638    -5.742569819900731E-8    -1.430035845337607
-1.85                     0                        1.4995576773204806       7.503518285591619E-12    0.941176490037583        -0.01840757324315721     -2.646297909488809E-8    -1.4297560045925577
-1.84                     0                        1.499557677325604        7.28072410804464E-12     0.9409924329329058       -0.018403849611758043    1.7538133402279724E-8    -1.4294762767215954
-1.83                     0                        1.4995576773301829       7.052092312233667E-12    0.9408084134544071       -0.018400046087981375    5.255105352162786E-9     -1.4291965253803665
-1.82                     0                        1.4995576773342505       6.8336431051599964E-12   0.9406244317888863       -0.018396298489724912    -5.63168494698415E-9     -1.4289168866669166
-1.81                     0                        1.499557677337883        6.615439396133186E-12    0.9404404876194168       -0.018392535404169626    -6.5912885054518385E-9   -1.4286372886932484
-1.8                      0                        1.4995576773410966       6.387677161816107E-12    0.9402565809212668       -0.01838876575017882     -3.6679767230365456E-8   -1.4283577403411547
-1.79                     0                        1.4995576773439465       6.1761247080458925E-12   0.9400727119503606       -0.018385019028502207    4.431185188144099E-8     -1.4280782714952098
-1.78                     0                        1.4995576773464487       5.969759001585454E-12    0.939888880713446        -0.018381239620469822    5.936493387146304E-9     -1.4277988265468784
-1.77                     0                        1.499557677348652        5.762825233172346E-12    0.9397050871068564       -0.018377469178757364    -8.15127210442053E-9     -1.4275194469934276
-1.76                     0                        1.4995576773505714       5.558999898849518E-12    0.9395213312383215       -0.01837370722128825     3.5977747595234573E-9    -1.4272401325143425
-1.75                     0                        1.4995576773522503       5.3641028856745685E-12   0.9393376129106771       -0.01836997300049565     5.773778263455572E-8     -1.4269609020664378
-1.74                     0                        1.4995576773537005       5.1684824403861244E-12   0.9391539322870739       -0.018366179663353552    -1.9696102228995204E-8   -1.4266816690413526
-1.73                     0                        1.499557677354948        4.980992166619113E-12    0.9389702895355726       -0.01836239749075968     -5.439137868834746E-9    -1.4264025039720258
-1.72                     0                        1.4995576773560153       4.7972873305144805E-12   0.9387866844197444       -0.01835862567485879     5.144907355916547E-9     -1.4261234056960852
-1.71                     0                        1.4995576773569206       4.616701493636977E-12    0.9386031168926314       -0.018354844978687675    5.647818273939525E-8     -1.4258443549061683
-1.7                      0                        1.4995576773576853       4.43859549210734E-12     0.9384195871770219       -0.018351082958571546    -3.4208373177194615E-8   -1.4255653794927043
-1.69                     0                        1.4995576773583157       4.271036190629402E-12    0.9382360953925457       -0.01834727393665797     -3.1833526282289713E-9   -1.425286413957239
-1.68                     0                        1.499557677358829        4.1009763634657E-12      0.9380526411121669       -0.018343527634385494    5.476294249762561E-10    -1.4250075673808618
-1.67                     0                        1.4995576773592454       3.9383461824065856E-12   0.9378692247483421       -0.018339745130585398    4.071584482188749E-9     -1.4247287414609253
-1.66                     0                        1.4995576773595711       3.785070775203359E-12    0.9376858461328788       -0.018336012374283655    5.0793012840847735E-8    -1.4244500218942475
-1.65                     0                        1.4995576773598163       3.6287192975336607E-12   0.937502505107554        -0.018332192690667725    1.947159548779944E-8     -1.4241712717687605
-1.6400000000000001       0                        1.4995576773599897       3.480864770345964E-12    0.9373192022358371       -0.01832840475043042     -7.90436457023927E-9     -1.4238926106001206
-1.63                     0                        1.4995576773601031       3.3360805831010066E-12   0.9371359371051206       -0.018324621392872536    -5.671463815437497E-9    -1.4236140106089108
-1.62                     0                        1.4995576773601624       3.195463025125231E-12    0.9369527097993042       -0.018320845669512708    -8.199942365074307E-8    -1.4233354749724676
-1.6099999999999999       0                        1.499557677360177        3.0596881184674417E-12   0.9367695200642404       -0.01831706572847095     -2.072228517717517E-8    -1.4230569914578113
-1.6                      0                        1.4995576773601509       2.928217625959742E-12    0.9365863684889796       -0.01831324932366608     7.543833322933911E-10    -1.4227785287021788
-1.5899999999999999       0                        1.49955767736009         2.8011260706097752E-12   0.9364032547115309       -0.01830948716855709     1.48158269330534E-8      -1.422500176876209
-1.58                     0                        1.4995576773600006       2.6775554212502545E-12   0.9362201787363119       -0.018305692040281065    -1.47783382489872E-10    -1.4222218487636695
-1.57                     0                        1.4995576773598862       2.5596432415178033E-12   0.9360371407499558       -0.018301905139311413    -4.284717531803051E-9    -1.421943585844904
