% Model:              C1noStruct.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 15 2021, 09:31
% Dimension:          2
% Nodes:              1001
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  c (mol/m^3)              cx (mol/m^4)             cy (mol/m^4)             -u*c+cx
0                         -0.5                     -6.648269453074719E-16   -1.5548157244271108E-30  0.9049721291544849       -0.017610190026831313    0.009049916447796146     -0.017610190026830713
0                         -0.499                   0.0059922324787061365    -3.1887240219444793E-17  0.9049811789953576       -0.017610582455216826    0.009049418344541005     -0.023033440068610578
0                         -0.498                   0.011972468495992358     -6.499367613575843E-17   0.9049902279911743       -0.017610657748828765    0.009048573289115923     -0.02844562474263404
0                         -0.497                   0.01794070805185988      -9.931930774894736E-17   0.9049992761419354       -0.017610764252726542    0.009047728233543306     -0.03384709205313353
0                         -0.496                   0.023896951146309357     -1.3486413505901568E-16  0.9050083234476411       -0.017610903447635273    0.009046883178035986     -0.03923784314006689
0                         -0.495                   0.029841197779339648     -1.716281580659567E-16   0.9050173699082915       -0.017611076910619708    0.009046038122579451     -0.044617879239790825
0                         -0.494                   0.03577344795095094      -2.0961137676977152E-16  0.9050264155238863       -0.017611286320098035    0.009045193067024941     -0.04998720169007748
0                         -0.493                   0.04169370166114362      -2.1265712614786193E-16  0.9050354603468576       -0.017611683773552097    0.009044390211937443     -0.05534596225000975
0                         -0.492                   0.047601958909917724     -1.546077654269513E-16   0.9050445039692535       -0.017611771372828263    0.009042854579957925     -0.06069366266241953
0                         -0.491                   0.05349821969727248      -1.127761367798561E-16   0.9050535460560176       -0.017611882219099362    0.00904131894804691      -0.06603063566379971
0                         -0.49                    0.05938248402320869      -8.716224020656923E-17   0.9050625866071498       -0.017612016778538547    0.009039783316172246     -0.07135688136774154
0                         -0.489                   0.06525475188772617      -7.776607570709258E-17   0.90507162562265         -0.01761217553015389     0.009038247684203483     -0.0766723999007809
0                         -0.488                   0.0711150232908248       -8.458764328142633E-17   0.9050806631025181       -0.017612358965832277    0.009036712052288473     -0.081977191402443
0                         -0.487                   0.07696329823250457      -1.0762694292956985E-16  0.9050896990467545       -0.017612567591362885    0.00903517642042991      -0.08727125602626606
0                         -0.486                   0.08279957671276535      -1.0286016568997589E-16  0.9050987334624699       -0.017612858123811255    0.009033425156766547     -0.09255465013776379
0                         -0.485                   0.08862385873160757      -7.981352391353084E-17   0.9051077657803634       -0.017612978578108673    0.009031210630328617     -0.09782712134950855
0                         -0.484                   0.09443614428903012      -5.80017836556779E-17    0.9051167958837305       -0.01761311552756082     0.009028996103860137     -0.10308885586206143
0                         -0.483                   0.1002364333850343       -3.74249449164124E-17    0.9051258237725711       -0.017613269321790873    0.009026781577407914     -0.10833985366144448
0                         -0.482                   0.10602472601961975      -1.808300769573545E-17   0.9051348494468854       -0.017613440319458364    0.00902456705095308      -0.11358011474287416
0                         -0.481                   0.11180102219278659      2.4028006353066872E-20   0.9051438729066731       -0.01761362888989369     0.009022352524525138     -0.11880963911239746
0                         -0.48                    0.11756532190453443      1.689616218985197E-17    0.9051528941519343       -0.017613835413034084    0.009020137998066375     -0.12402842678682723
0                         -0.479                   0.12331762515486298      4.560408177472778E-17    0.905161913047488        -0.017614059356558145    0.009017452171536426     -0.12923647685420697
0                         -0.478                   0.12905793194377307      6.685010076164647E-17    0.9051709290562773       -0.017614201524477353    0.009014565407302659     -0.13443368968410424
0                         -0.477                   0.13478624227126473      8.063421915051313E-17    0.9051799421783026       -0.0176143560015725      0.009011678643056163     -0.13962015898710659
0                         -0.476                   0.14050255613733686      8.695643694132607E-17    0.9051889524135633       -0.017614522681666796    0.009008791878785541     -0.14479588428305062
0                         -0.475                   0.14620687354199066      8.581675413408725E-17    0.9051979597620601       -0.017614701457753842    0.00900590511451128      -0.1499608650911533
0                         -0.474                   0.15189919448522565      7.7215170728796E-17      0.9052069642237924       -0.017614892224724978    0.009003018350221798     -0.15511510093273553
0                         -0.473                   0.15757951896704203      8.389631053998088E-17    0.9052159658178024       -0.017615132895207518    0.009000078577339267     -0.1602586293500632
0                         -0.472                   0.16324784698743888      1.2186437699243555E-16   0.9052249641225929       -0.017615280294825734    0.008996531003395935     -0.16539130672712063
0                         -0.471                   0.1689041785464174       1.422599122604593E-16    0.9052339588798094       -0.01761543665587262     0.00899298342952799      -0.17051323487278822
0                         -0.47                    0.17454851364397658      1.4508291634404903E-16   0.9052429500894521       -0.017615601912960695    0.008989435855659728     -0.17562441333776302
0                         -0.469                   0.1801808522801178       1.303333892432045E-16    0.9052519377515208       -0.01761577600254552     0.008985888281720613     -0.18072484167484268
0                         -0.46799999999999997     0.18580119445484014      9.80113309579249E-17     0.9052609218660156       -0.017615958860767916    0.008982340707871232     -0.18581451943676333
0                         -0.46699999999999997     0.1914095401681428       4.811674148822004E-17    0.9052699024329364       -0.017616150425086637    0.008978793133915195     -0.19089344617783446
0                         -0.46599999999999997     0.19700588942002736      -3.988777839840138E-18   0.9052788793927645       -0.01761635329972989     0.008974938840819631     -0.19596162410766713
0                         -0.46499999999999997     0.20259024221049238      -3.346853360868995E-17   0.9052878522316571       -0.017616512759597282    0.008970738943661252     -0.20101899801342513
0                         -0.46399999999999997     0.2081625985395388       -4.1499827665363774E-17  0.9052968208706519       -0.017616678496002756    0.008966539046522285     -0.20606561717802105
0                         -0.463                   0.21372295840716599      -2.8082660009862185E-17  0.9053057853097499       -0.017616850474526234    0.008962339149402948     -0.21110148117404867
0                         -0.462                   0.21927132181337486      6.782969357817177E-18    0.9053147455489508       -0.017617028661054534    0.00895813925227703      -0.2161265895747121
0                         -0.461                   0.2248076887581651       6.309706043767511E-17    0.9053237015882545       -0.017617213020739732    0.008953939355138342     -0.22114094195278197
0                         -0.46                    0.23033205924153663      1.4085961322971207E-16   0.9053326534276611       -0.01761740352042453     0.008949739457895893     -0.22614453788302213
0                         -0.459                   0.23584443326348903      6.15884735148919E-17     0.9053416008401027       -0.01761758501253425     0.008944990577734888     -0.23113736177252817
0                         -0.458                   0.2413448108240225       1.854911855205533E-18    0.9053505434088167       -0.01761775222646861     0.008940146849845917     -0.23611940785489546
0                         -0.457                   0.2468331919231372       -3.834107174835507E-17   0.9053594811338024       -0.01761792373122257     0.008935303121924405     -0.24109069429735433
0                         -0.456                   0.252309576560833        -5.899947729579059E-17   0.9053684140150603       -0.017618099508870933    0.008930459393925623     -0.24605122068056376
0                         -0.455                   0.25777396473710995      -6.012030478710028E-17   0.9053773420525902       -0.017618279542777456    0.008925615665994655     -0.2510009865868202
0                         -0.454                   0.26322635645196835      -4.1703554222282907E-17  0.9053862652463923       -0.01761846381592294     0.008920771938036339     -0.2559399915983862
0                         -0.453                   0.2686667517054076       1.0707800107042896E-17   0.9053951835835808       -0.017618654110842777    0.008915783655877842     -0.2608682370939646
0                         -0.452                   0.27409515049742844      8.407008373811863E-17    0.9054040966276784       -0.017618823165658267    0.008910304538874534     -0.26578569529181
0                         -0.451                   0.2795115528280302       1.35718895167353E-16     0.9054130041926587       -0.01761899506690069     0.008904825421968514     -0.2706923898194825
0                         -0.45                    0.2849159586972133       1.6565423439474814E-16   0.9054219062785224       -0.01761916980764144     0.008899346305074978     -0.27558832026044505
0                         -0.449                   0.29030836810497745      1.7387610142030256E-16   0.905430802885269        -0.017619347378623626    0.008893867188156641     -0.2804734861962256
0                         -0.448                   0.2956887810513227       1.6038449624401677E-16   0.9054396940128987       -0.01761952777268615     0.008888388071192934     -0.28534788721084275
0                         -0.447                   0.301057197536249        1.2517941886589114E-16   0.9054485796614115       -0.017619710981936376    0.008882908954245351     -0.290211522887978
0                         -0.446                   0.3064136175597569       1.3043640946997014E-16   0.905457459721682        -0.017619891143493608    0.00887705717753932      -0.295064386923282
0                         -0.445                   0.3117580411218457       1.629380133223103E-16    0.905466333725843        -0.017620063841675734    0.008870951143994518     -0.29990647434582396
0                         -0.444                   0.3170904682225154       1.9517052340165557E-16   0.9054752016239701       -0.017620238359351337    0.008864845110392178     -0.30473779400617257
0                         -0.443                   0.3224108988617668       2.2713393970801057E-16   0.9054840634160638       -0.01762041469295618     0.008858739076821338     -0.30955834548393435
0                         -0.442                   0.32771933303959927      2.588282622413714E-16    0.9054929191021237       -0.0176205928389815      0.008852633043297387     -0.3143681283592093
0                         -0.441                   0.3330157707560127       2.902534910017373E-16    0.9055017686821503       -0.017620772794360844    0.008846527009728903     -0.3191671422129798
0                         -0.44                    0.338300212011007        3.2140962598910856E-16   0.9055106121561433       -0.017620954556294467    0.008840420976200036     -0.3239553866269345
