% Model:              C1fullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 12 2021, 16:40
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  c (mol/m^3)              cx (mol/m^4)             cy (mol/m^4)             -u*c+cx
-2                        0                        1.499317436440751        6.311114928899019E-11    0.9439945712893283       -0.018401395593861305    -6.0890311458809135E-9   -1.433748916233363
-1.99                     0                        1.4993174670584          8.245452667139496E-11    0.9438105793815738       -0.018396986366199915    -7.804210181510199E-10   -1.433468673627502
-1.98                     0                        1.4993175008351356       1.4797419354806389E-10   0.9436266316200591       -0.01839255895484702     5.778465577745755E-10    -1.4331884819969112
-1.97                     0                        1.4993175381346238       1.4445155317801675E-10   0.9434427281220487       -0.01838813772074976     -2.0947257578338985E-9   -1.4329083662197128
-1.96                     0                        1.4993175790357043       1.3662567115737203E-10   0.9432588689275464       -0.018383694978914476    -4.033962092848647E-9    -1.43262829874332
-1.95                     0                        1.4993176241179582       1.7890189083402392E-10   0.9430750542081539       -0.018379249746655012    -1.530273621228618E-9    -1.432348299386939
-1.94                     0                        1.4993176738464808       1.8405929467333073E-10   0.9428912839487663       -0.01837478542360061     -3.102702942294258E-8    -1.4320683519637867
-1.93                     0                        1.4993177283159282       9.163447441518229E-11    0.9427075582360842       -0.01837034002740842     -2.2779000418167045E-9   -1.4317884947081898
-1.92                     0                        1.4993177880291444       8.133381996531316E-11    0.9425238771418339       -0.01836587563197747     -1.0018854743542027E-8   -1.431508690272925
-1.91                     0                        1.4993178532382558       2.1154944112860166E-10   0.9423402407933132       -0.01836139319988561     -7.345795081445665E-9    -1.431228940046137
-1.9                      0                        1.4993179250215936       1.7119536369489265E-10   0.9421566492665048       -0.018356911313566465    -4.426673880854035E-10   -1.4309492637371197
-1.89                     0                        1.4993180033455926       7.279997726974112E-11    0.9419731026047401       -0.018352422353355217    6.532641553265681E-9     -1.4306696537559473
-1.88                     0                        1.4993180888275959       1.7706231419159598E-10   0.9417896008910401       -0.018347920141057572    4.678693286414987E-9     -1.4303901046267162
-1.87                     0                        1.4993181822290917       1.6092941782457194E-10   0.9416061442372935       -0.018343408501797574    1.5533463771839195E-9    -1.4301106210554004
-1.8599999999999999       0                        1.4993182838735342       1.9509104196756893E-10   0.9414227327198627       -0.018338892468590526    5.430997750112856E-9     -1.4298312084896678
-1.85                     0                        1.499318394754517        1.5880339991329887E-10   0.9412393664149714       -0.01833436766881061     9.83239644279029E-10     -1.4295518636018643
-1.84                     0                        1.4993185154619548       1.5594433130348384E-10   0.9410560454012779       -0.018329829689672412    2.390863429492665E-9     -1.4292725826472141
-1.83                     0                        1.4993186466559825       1.1545490190460998E-10   0.9408727697878024       -0.01832529031085675     -3.149524899537495E-9    -1.4289933781845705
-1.82                     0                        1.4993187889093453       1.5721629645717537E-10   0.9406895396469281       -0.0183207358774269      -2.8345511671244492E-9   -1.4287142372005488
-1.81                     0                        1.4993189438530843       1.3276254939069964E-10   0.9405063550695428       -0.01831618013732061     1.7623614070344806E-9    -1.4284351751073014
-1.8                      0                        1.4993191117737137       1.5498704162064146E-10   0.9403232161678835       -0.01831160371428649     -9.995054697930418E-9    -1.4281561729593193
-1.79                     0                        1.499319293860367        4.925151797305919E-10    0.9401401229964536       -0.018307028577784594    -5.2417177906880375E-9   -1.427877253918626
-1.78                     0                        1.4993194911906085       7.218616827630721E-11    0.9399570756362045       -0.018302441478192717    -8.486128398397771E-9    -1.427598405862079
-1.77                     0                        1.4993197043600677       -5.670134586358047E-11   0.9397740741978141       -0.01829784310297345     2.519010939353386E-9     -1.4273196301944964
