% Model:              C1fullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 12 2021, 16:40
% Dimension:          2
% Nodes:              10201
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  c (mol/m^3)              cx (mol/m^4)             cy (mol/m^4)             -u*c+cx
-0.5                      -0.5                     1.1974046302871784E-16   -1.8921970656862488E-22  0.9141339787496325       -0.01745646005179656     0.009141339821549181     -0.01745646005179667
-0.49                     -0.5                     2.6517943937700317E-17   -2.2470069118474367E-23  0.913959458548075        -0.017447586933907914    0.00913959461913166      -0.017447586933907938
-0.48                     -0.5                     -6.482139622754296E-16   7.8804426528677285E-22   0.9137850268501799       -0.017438762104769228    0.009137850301548006     -0.017438762104768635
-0.47                     -0.5                     -2.1052442839890967E-16  1.5854388531985803E-22   0.9136106830873078       -0.017430002990186086    0.009136106863276676     -0.017430002990185895
-0.46                     -0.5                     5.961401068407542E-16    -1.0778430293667688E-21  0.9134364265067357       -0.017421329049939746    0.009134364297502836     -0.01742132904994029
-0.45                     -0.5                     2.277479325837729E-16    -1.5694140598270028E-22  0.9132622561518814       -0.01741276157655345     0.009132622592173296     -0.017412761576553658
-0.44                     -0.5                     2.478922608878504E-16    -5.014694526955573E-22   0.913088170841865        -0.017404324220627355    0.009130881738506387     -0.01740432422062758
-0.43                     -0.5                     -2.958387371034313E-16   1.5763648629342487E-22   0.9129141691480612       -0.017396042857350465    0.009129141720482887     -0.017396042857350195
-0.42                     -0.5                     -6.384126067979833E-17   1.5047386691994633E-22   0.9127402493699281       -0.01738794609315525     0.00912740252297894      -0.01738794609315519
-0.41000000000000003      -0.5                     -3.947254689786006E-16   3.183457269278585E-22    0.9125664095071561       -0.01738006525135657     0.009125664121494464     -0.01738006525135621
-0.4                      -0.5                     -1.8608993279240021E-16  7.223857032465536E-22    0.9123926472309598       -0.01737243481721591     0.009123926499456586     -0.01737243481721574
-0.39                     -0.5                     1.2224186185660224E-16   -1.9002253689001392E-22  0.9122189598508679       -0.017365092623626982    0.00912218962292473      -0.017365092623627093
-0.38                     -0.5                     2.2464718704134357E-16   -1.165245941519569E-21   0.9120453442803975       -0.017358080171981902    0.009120453467288276     -0.017358080171982107
-0.37                     -0.5                     3.1128497430020426E-17   -4.393605174333749E-23   0.9118717969971362       -0.017351443133910908    0.009118717993202165     -0.017351443133910936
-0.36                     -0.5                     -1.7078460466503775E-16  1.0015947411771354E-21   0.9116983140013236       -0.017345231456877608    0.009116983162913489     -0.01734523145687745
-0.35                     -0.5                     -2.0462271082032385E-16  1.425347914024626E-22    0.9115248907675009       -0.017339500342452335    0.0091152489295778       -0.017339500342452147
-0.33999999999999997      -0.5                     -3.4540347890643394E-16  2.2869093831955627E-21   0.9113515221938658       -0.01733431002700525     0.009113515242879499     -0.017334310027004935
-0.32999999999999996      -0.5                     -1.8205965370146993E-16  2.204007527907908E-22    0.911178202542879        -0.017329727465429042    0.00911178204406601      -0.017329727465428876
-0.32                     -0.5                     -9.949038402174909E-17   9.71187641099203E-22     0.9110049253783712       -0.017325825616522964    0.00911004927229535      -0.017325825616522874
-0.31                     -0.5                     -6.598230991990451E-16   1.7628824829746928E-21   0.9108316834915323       -0.017322686161018435    0.009108316852081553     -0.017322686161017835
-0.3                      -0.5                     2.281393882812602E-16    -3.06450090134148E-21    0.9106584688212136       -0.017320398088827797    0.009106584704734366     -0.017320398088828005
-0.29000000000000004      -0.5                     1.6758704245061797E-16   -6.864944789658341E-23   0.9104852723597049       -0.017319061354872947    0.009104852734631939     -0.0173190613548731
-0.28                     -0.5                     6.122723898857264E-17    -7.437899527305035E-22   0.9103120840493353       -0.01731878740559263     0.009103120853342308     -0.017318787405592687
-0.27                     -0.5                     1.3796548356051749E-16   -2.5505716555006203E-22  0.9101388926592734       -0.01731969905839638     0.00910138893820461      -0.017319699058396504
