% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 22:50
% Dimension:          2
% Nodes:              10201
% Expressions:        11
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u4, Gradient of u4, x component, Gradient of u4, y component, Dependent variable u6, Gradient of u6, x component, Gradient of u6, y component, , , Gradient of u4, y component
% Length unit:        m
% x                       y                        u2 (m/s)                 v2 (m/s)                 u4 (1)                   u4x (1/m)                u4y (1/m)                u6 (1)                   u6x (1/m)                u6y (1/m)                -u2*u4+u4x               -u2*u6+u6x               u4y (1/m)
-0.07                     -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.06                     -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.04999999999999999      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.03999999999999998      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.02999999999999997      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.020000000000000018     -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.010000000000000009     -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0                         -0.5                     -6.876281542782703E-15   1.1736226321697686E-18   0.9051456567610332       -0.017826384847455818    0.009053958689997157     0.9051456567610332       -0.017826384847541083    0.009053958690054001     -0.017826384847449594    -0.01782638484753486     0.009053958689997157
0.010000000000000009      -0.5                     -1.9346540016498869E-16  -3.373740490639551E-19   0.9049671941402953       -0.017864050156994982    0.009049925058804023     0.9049671941402953       -0.017864050156994982    0.009049925058576649     -0.01786405015699481     -0.01786405015699481     0.009049925058804023
0.020000000000000018      -0.5                     8.613613179220678E-16    6.723467593439109E-19    0.9047884016628843       -0.017893316520338588    0.009048106585276668     0.9047884016628844       -0.01789331652039543     0.009048106585276668     -0.017893316520339368    -0.01789331652039621     0.009048106585276668
0.030000000000000027      -0.5                     -6.815425623581799E-16   -3.048043765266351E-19   0.9046093515392654       -0.017915838760360757    0.009046279298441625     0.9046093515392654       -0.017915838760345363    0.009046279298439697     -0.01791583876036014     -0.017915838760344745    0.009046279298441625
