% Model:              C1EqPeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:14
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.5                      -0.5                     3.625191354000615E-16    -2.0085782762238558E-23  0.8823022614607103       -0.10912590723144139     0                        0                        -0.10912590723144171     0                        0.08823022615074523
-0.49                     -0.5                     3.334193467202273E-17    -4.709098768469862E-24   0.881176130109596        -0.11618848059552976     0                        0                        -0.11618848059552979     0                        0.08811761301137323
-0.48                     -0.5                     3.15834984039214E-16     -4.9583594300203563E-23  0.8799766612052587       -0.12380035415508095     0                        0                        -0.12380035415508123     0                        0.0879976661261693
-0.47                     -0.5                     3.0106597392371197E-16   -7.060738406658872E-23   0.8786981481699676       -0.13200480067854256     0                        0                        -0.13200480067854284     0                        0.08786981482087056
-0.46                     -0.5                     1.2760890771838566E-16   -3.300346977829315E-23   0.877334434515004        -0.14084857585481875     0                        0                        -0.14084857585481886     0                        0.08773344345269868
-0.45                     -0.5                     3.5463262283018737E-16   -1.2218300311770047E-22  0.8758788775844241       -0.1503822076862745      0                        0                        -0.1503822076862748      0                        0.08758788776030754
-0.44                     -0.5                     -2.42044089019247E-16    9.603339544661301E-23    0.8743243092813382       -0.160660311003139       0                        0                        -0.16066031100313877     0                        0.08743243092860359
-0.43                     -0.5                     -5.920887866643129E-17   2.921546746092476E-23    0.8726629935144794       -0.1717419291485704      0                        0                        -0.17174192914857034     0                        0.08726629934521693
-0.42                     -0.5                     1.4119041499358886E-16   -8.317790432855226E-23   0.870886580083279        -0.18369090513632674     0                        0                        -0.18369090513632685     0                        0.08708865800762304
-0.41000000000000003      -0.5                     2.991459178555265E-18    -2.040134840047839E-24   0.8689860546904528       -0.1965762854290718      0                        0                        -0.1965762854290718      0                        0.08689860546939124
-0.4                      -0.5                     1.0560399641380398E-16   -8.53852119240856E-23    0.8669516847440036       -0.21047275873680246     0                        0                        -0.21047275873680255     0                        0.08669516847784575
-0.39                     -0.5                     -6.400716158105364E-17   6.027732927258562E-23    0.8647729605828103       -0.22546113297882575     0                        0                        -0.2254611329788257      0                        0.08647729606246923
-0.38                     -0.5                     1.3401106063899145E-16   -1.446955289063619E-22   0.8624385317300756       -0.24162885337035767     0                        0                        -0.24162885337035778     0                        0.086243853171607
-0.37                     -0.5                     -3.1151537722754177E-16  3.762798858581725E-22    0.8599361377411879       -0.25907056628850833     0                        0                        -0.25907056628850805     0                        0.08599361377477649
