% Model:              C1fullScalePeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:01
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u2, Gradient of u2, x component, Gradient of u2, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+u2x
-2                        0                        1.4993174364407524       6.311045701541853E-11    0.9501267875471724       -0.01852255313992786     -6.894241350639703E-8    -1.4430642125388418
-1.99                     0                        1.4993174670584013       8.245407151579204E-11    0.9499415795718879       -0.018519059145476743    -1.4277329647747013E-8   -1.4427830620826563
-1.98                     0                        1.4993175008351372       1.47973885758913E-10     0.9497564067065307       -0.01851545431144816     9.63477659158534E-10     -1.442501856416844
-1.97                     0                        1.4993175381346253       1.4445131945962624E-10   0.9495712693846653       -0.01851199296861493     -2.6912199046289368E-8   -1.4422208508658023
-1.96                     0                        1.4993175790357058       1.3662536829179095E-10   0.949386167224019        -0.018508387971537275    -4.726727859702837E-8    -1.4419397577838413
-1.95                     0                        1.4993176241179598       1.789014587898684E-10    0.9492011012192942       -0.018504835376468895    -2.134256996747718E-8    -1.4416587752667323
-1.94                     0                        1.4993176738464824       1.8405860172895733E-10   0.9490160704126308       -0.018501166020724415    -3.278470765945461E-7    -1.4413777331547195
-1.93                     0                        1.4993177283159294       9.163360252041394E-11    0.9488310748766235       -0.018497777393719356    -2.8007598998624607E-8   -1.4410970291333
-1.92                     0                        1.4993177880291457       8.133270189433418E-11    0.9486461145158015       -0.018494275735401515    -1.0896059587360467E-7   -1.4408162697736766
-1.91                     0                        1.4993178532382574       2.1154801635386885E-10   0.9484611898104514       -0.018490669720563298    -8.194638771741721E-8    -1.4405354647069726
-1.9                      0                        1.4993179250215956       1.7119353449441055E-10   0.9482763007179988       -0.018487154756791194    -1.0817763197153665E-8   -1.4402548102964559
-1.89                     0                        1.4993180033455948       7.279761357752902E-11    0.9480914468085324       -0.01848365472260855     6.356950977484376E-8     -1.4399742297406137
-1.88                     0                        1.4993180888275985       1.7705964535728224E-10   0.9479066280776215       -0.018480103988283068    4.4264945945442954E-8    -1.4396936579846358
