% Model:              C1EqPeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:14
% Dimension:          2
% Nodes:              401
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x
-2                        0                        1.4995578599253545       -5.2000183169771935E-11  0.9501351923396828       -0.01851980333045887     0                        0                        -1.4433024989951186      0
-1.99                     0                        1.4995578871802544       -6.924922740486362E-11   0.9499500120393227       -0.01851625681317613     0                        0                        -1.44302128979372        0
-1.98                     0                        1.499557917350612        2.338024818012422E-11    0.9497648672017487       -0.01851271079721764     0                        0                        -1.4427401370310524      0
-1.97                     0                        1.4995579507710555       -1.1091707525447357E-10  0.9495797578212101       -0.018509165431018815    0                        0                        -1.4424590411630678      0
-1.96                     0                        1.4995579877618057       2.5332142965136503E-11   0.9493946838904519       -0.018505620867403795    0                        0                        -1.4421780026339253      0
-1.95                     0                        1.4995580284375647       -8.923353175170257E-11   0.9492096454006551       -0.018502077265744085    0                        0                        -1.4418970216966702      0
-1.94                     0                        1.499558073457189        -1.0951098343092996E-11  0.9490246423413801       -0.018498534791565394    0                        0                        -1.4416160991244031      0
-1.93                     0                        1.4995581230607287       -8.280036726389517E-11   0.9488396747004932       -0.01849499361739309     0                        0                        -1.441335235296817       0
-1.92                     0                        1.4995581774753555       -1.3891965564656527E-10  0.9486547424640964       -0.018491453924218523    0                        0                        -1.4410544305870316      0
-1.91                     0                        1.4995582370830067       9.221326627832122E-11    0.9484698456164459       -0.018487915900432337    0                        0                        -1.4407736855194215      0
-1.9                      0                        1.4995583026673966       -4.65443755763267E-11    0.948284984139863        -0.018484379744595554    0                        0                        -1.4404930010063475      0
-1.89                     0                        1.4995583743881111       -7.815014022162194E-11   0.9481001580146317       -0.018480845665612162    0                        0                        -1.4402123773751445      0
-1.88                     0                        1.4995584532039377       -2.5397232805166007E-11  0.9479153672189012       -0.018477313882020233    0                        0                        -1.4399318157170384      0
-1.87                     0                        1.4995585395249835       -3.737828215140405E-11   0.9477306117285685       -0.018473784625088495    0                        0                        -1.4396513166118998      0
-1.8599999999999999       0                        1.4995586334788835       -1.3925351440491446E-10  0.9475458915171502       -0.018470258140510867    0                        0                        -1.4393708803824992      0
-1.85                     0                        1.4995587363206897       -1.3121341481381384E-10  0.947361206555661        -0.018466734684752257    0                        0                        -1.4390905084266032      0
-1.84                     0                        1.4995588484001199       -5.172042803512982E-11   0.9471765568124513       -0.01846321453149716     0                        0                        -1.4388102012967674      0
-1.83                     0                        1.4995589705178358       -9.015960042957125E-11   0.9469919422530614       -0.01845969797026215     0                        0                        -1.4385299599839487      0
-1.82                     0                        1.4995591031555726       6.092294525315957E-11    0.9468073628400523       -0.018456185307877966    0                        0                        -1.4382497851893996      0
-1.81                     0                        1.499559247939274        7.301361232120133E-11    0.9466228185328198       -0.018452676871050747    0                        0                        -1.437969678712282       0
-1.8                      0                        1.499559405168157        -2.2300395056125264E-10  0.946438309287394        -0.01844917300620804     0                        0                        -1.4376896411095688      0
-1.79                     0                        1.4995595761061544       -9.824943819240439E-11   0.9462538350562336       -0.018445674081361975    0                        0                        -1.4374096738671105      0
-1.78                     0                        1.4995597612352283       -7.584330969210622E-11   0.9460693957879914       -0.01844218048994914     0                        0                        -1.4371297777497463      0
-1.77                     0                        1.4995599623477933       -1.3246944372436985E-10  0.9458849914272739       -0.018438692648607057    0                        0                        -1.4368499547786326      0
-1.76                     0                        1.4995601797324463       -2.7000955046962196E-10  0.9457006219143702       -0.018435211003656415    0                        0                        -1.4365702055746556      0
-1.75                     0                        1.4995604157754092       2.0905581031744937E-11   0.9455162871849666       -0.018431736030152485    0                        0                        -1.4362905327636621      0
-1.74                     0                        1.4995606707128124       -3.238264285286621E-10   0.9453319871698459       -0.01842826823453485     0                        0                        -1.4360109369612248      0
-1.73                     0                        1.4995609459817936       -1.9874303990510587E-10  0.9451477217945458       -0.018424808158732053    0                        0                        -1.4357314199454982      0
-1.72                     0                        1.499561243546407        -6.543986042037012E-12   0.9449634909790176       -0.018421356380029296    0                        0                        -1.4354519840184787      0
-1.71                     0                        1.4995615648425507       9.872503431357952E-11    0.9447792946372301       -0.018417913516935443    0                        0                        -1.4351726310139814      0
-1.7                      0                        1.4995619117080063       -5.24659475678895E-10    0.9445951326767701       -0.01841448022853871     0                        0                        -1.434893363175394       0
-1.69                     0                        1.4995622846173833       -6.415830999673551E-11   0.9444110049983925       -0.018411057222147007    0                        0                        -1.4346141814953355      0
-1.68                     0                        1.4995626860262736       -4.2301464571761106E-10  0.9442269114955535       -0.01840764525096009     0                        0                        -1.4343350888715247      0
