% Model:              C1fullScalePeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u2, Gradient of u2, x component, Gradient of u2, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+u2x
-0.5                      -0.5                     1.1974046302871678E-16   -1.8921970662978928E-22  0.8822918647584322       -0.1093621779757268      0.08822918009236243      -0.1093621779757269
-0.49                     -0.5                     2.6517943937700166E-17   -2.2470069118880803E-23  0.8811631538342821       -0.11646914906245837     0.08811630897050847      -0.1164691490624584
-0.48                     -0.5                     -6.4821396227542985E-16  7.880442641914584E-22    0.8799606290760008       -0.12413204935243764     0.087996055489306        -0.12413204935243707
-0.47                     -0.5                     -2.1052442839890854E-16  1.5854388535385041E-22   0.8786785140835135       -0.13239482995181515     0.0878678438458971       -0.13239482995181495
-0.46                     -0.5                     5.961401068407536E-16    -1.0778430295171045E-21  0.8773105734612424       -0.14130548788947173     0.08773104869879304      -0.14130548788947225
-0.45                     -0.5                     2.27747932583771E-16     -1.5694140577060537E-22  0.8758500741118757       -0.1509155119265518      0.0875849987070078       -0.150915511926552
-0.44                     -0.5                     2.478922608878516E-16    -5.014694525122935E-22   0.8742897457155969       -0.16128103294372645     0.08742896449868268      -0.16128103294372667
-0.43                     -0.5                     -2.958387371034309E-16   1.5763648649215568E-22   0.8726217350597383       -0.1724624363010775      0.08726216333122125      -0.17246243630107724
-0.42                     -0.5                     -6.38412606797978E-17    1.504738668790183E-22    0.8708375595185823       -0.18452542286816895     0.08708374400164315      -0.1845254228681689
-0.41000000000000003      -0.5                     -3.9472546897859994E-16  3.183457269920416E-22    0.868928053123788        -0.19754089309570602     0.08689279326711039      -0.1975408930957057
-0.4                      -0.5                     -1.8608993279240004E-16  7.2238570313257715E-22   0.866883311708728        -0.2115858188540807      0.08668831699074236      -0.21158581885408054
-0.39                     -0.5                     1.2224186185660243E-16   -1.9002253714664366E-22  0.8646926291816404       -0.22674354720811818     0.086469249150784        -0.2267435472081183
-0.38                     -0.5                     2.246471870413421E-16    -1.165245941638946E-21   0.8623444327143852       -0.24310433788076388     0.08623442709693403      -0.24310433788076408
-0.37                     -0.5                     3.112849743002047E-17    -4.3936051747697575E-23  0.8598262073981296       -0.2607662906448732      0.08598260548728498      -0.2607662906448732
-0.36                     -0.5                     -1.7078460466503738E-16  1.0015947414532182E-21   0.857124419510589        -0.2798353481996267      0.08571242326249456      -0.2798353481996265
-0.35                     -0.5                     -2.046227108203233E-16   1.4253479149793032E-22   0.8542244274239809       -0.30042711708683134     0.08542242485361196      -0.3004271170868312
-0.33999999999999997      -0.5                     -3.4540347890643113E-16  2.286909383802346E-21    0.851110390581146        -0.32266606821734894     0.08511101706356976      -0.32266606821734867
-0.32999999999999996      -0.5                     -1.8205965370146901E-16  2.2040075293326265E-22   0.8477651641124996       -0.34668860465222595     0.08477649553145912      -0.3466886046522258
-0.32                     -0.5                     -9.949038402174928E-17   9.711876410115231E-22    0.844170190691116        -0.37264110239719983     0.08441699385569794      -0.3726411023971997
-0.31                     -0.5                     -6.598230991990431E-16   1.7628824834387975E-21   0.840305375925874        -0.40068468523025613     0.08403051480099276      -0.4006846852302556
-0.3                      -0.5                     2.281393882812607E-16    -3.0645009011816924E-21  0.8361489597216986       -0.4309916245974639      0.08361486768753267      -0.43099162459746404
-0.29000000000000004      -0.5                     1.675870424506184E-16    -6.864944819806593E-23   0.831677369023582        -0.4637513566837617      0.08316770498554543      -0.4637513566837619
-0.28                     -0.5                     6.122723898857327E-17    -7.437899528076475E-22   0.8268650649397077       -0.49916998287383996     0.08268647393093273      -0.49916998287384
-0.27                     -0.5                     1.3796548356051815E-16   -2.55057165365265E-22    0.8216843686977071       -0.5374683820886956      0.08216840737020976      -0.5374683820886957
