% Model:              C1EqPeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:14
% Dimension:          2
% Nodes:              1001
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u4, Gradient of u4, x component, Gradient of u4, y component, Dependent variable u6, Gradient of u6, x component, Gradient of u6, y component
% Length unit:        m
% x                       y                        u2 (m/s)                 v2 (m/s)                 u4 (1)                   u4x (1/m)                u4y (1/m)                u6 (1)                   u6x (1/m)                u6y (1/m)
0                         -0.5                     -6.8762815427827056E-15  1.1736226321678E-18      0.35751048210803205      0.4188637667595159       0.035858865525752036     0                        0                        0
0                         -0.499                   0.05844753709306343      -1.829891491831233E-7    0.35755328231927713      0.4176324681418695       0.04965922574613968      0                        0                        0
0                         -0.498                   0.11186306092712853      -4.400292244654081E-7    0.35760949707506473      0.41483004753895514      0.06262538295921749      0                        0                        0
0                         -0.497                   0.16024657150220725      -7.711202258468903E-7    0.3576782568208437       0.4110915752378174       0.07476270133998526      0                        0                        0
0                         -0.496                   0.20359806881830367      -1.1762621533276248E-6   0.35775877297573         0.40674997148993514      0.08615146790018455      0                        0                        0
0                         -0.495                   0.24191755287540884      -1.655455006907543E-6    0.35785033655919707      0.4019859336493924       0.09687059634288353      0                        0                        0
0                         -0.494                   0.2752050236735246       -2.2086987865866527E-6   0.35795231681776657      0.39690878393154627      0.10699762706107212      0                        0                        0
0                         -0.493                   0.3039920971985752       -1.9935008379103423E-6   0.35806415904528394      0.39162966880327515      0.11660593732461717      0                        0                        0
0                         -0.492                   0.3312479891201837       -4.50193781022453E-7     0.35818537735295447      0.38616618796681784      0.1257566924784105       0                        0                        0
0                         -0.491                   0.3571282673083265       5.948244377993207E-7     0.358315528477829        0.3805502080291517       0.13447557162612703      0                        0                        0
0                         -0.49                    0.38163293176300694      1.1415538185551638E-6    0.3584541924497281       0.3748153632902919       0.14278629256675401      0                        0                        0
0                         -0.489                   0.4047619824842244       1.189994361245024E-6     0.35860097273470787      0.3689925295720934       0.15071200997251208      0                        0                        0
0                         -0.488                   0.42651541947197824      7.401460658689023E-7     0.3587554956719336       0.3631092630595162       0.15827531538906042      0                        0                        0
0                         -0.487                   0.44689324272626857      -2.079910675731828E-7    0.35891740991055243      0.35718921618405663      0.16549823723446724      0                        0                        0
0                         -0.486                   0.46574896400058186      -2.700401389585891E-7    0.35908638630989714      0.3512514591378978       0.17240375790186743      0                        0                        0
0                         -0.485                   0.48364032218694053      1.8055468522719405E-7    0.35926211906652344      0.34530565013727527      0.17901376147841086      0                        0                        0
0                         -0.484                   0.5007374603623551       5.15353811617421E-7      0.3594443200180232       0.3393601616362926       0.18534231732720235      0                        0                        0
0                         -0.483                   0.5170403785268295       7.343572402121742E-7     0.3596327142095292       0.33342473704563447      0.19140239499507214      0                        0                        0
0                         -0.482                   0.5325490766803627       8.375649710114278E-7     0.35982703960719736      0.3275090156762952       0.19720686697990128      0                        0                        0
0                         -0.481                   0.5472635548229549       8.249770040151729E-7     0.3600270470011563       0.321621793309746        0.20276850873100213      0                        0                        0
0                         -0.48                    0.561183812954605        6.965933392234099E-7     0.3602324999084603       0.3157702508350731       0.20809999864889908      0                        0                        0
0                         -0.479                   0.5743514959866581       8.239022648522448E-7     0.36044317485704624      0.3099591613787888       0.21321471626379065      0                        0                        0
0                         -0.478                   0.5870415688968358       9.203524799891735E-7     0.36065886047736356      0.3041898611847953       0.21812274688009536      0                        0                        0
0                         -0.477                   0.5992540316851387       9.859439846322915E-7     0.360879354103656        0.2984653532532929       0.22283203577640381      0                        0                        0
0                         -0.476                   0.6109888843515646       1.0206767787815902E-6    0.3611044609155461       0.292789116398065        0.22735042429203361      0                        0                        0
0                         -0.475                   0.6222461268961159       1.0245508624370793E-6    0.3613339939299555       0.28716465928623136      0.2316857456850412       0                        0                        0
0                         -0.474                   0.6330257593187918       9.975662355987555E-7     0.3615677739930236       0.2815951264237102       0.2358458251320781       0                        0                        0
0                         -0.473                   0.643303428223257        9.329294418183647E-7     0.36180562978439956      0.2760830360332522       0.23983855720394762      0                        0                        0
0                         -0.472                   0.6531597172114125       8.498923090019776E-7     0.3620473980925765       0.2706291983019453       0.24367206478615266      0                        0                        0
0                         -0.471                   0.662695801575052        7.750643922239199E-7     0.3622929227989458       0.2652335989623317       0.24735222806231905      0                        0                        0
0                         -0.47                    0.671911681314174        7.084456914842058E-7     0.3625420531864831       0.25989718205056367      0.250884305456602        0                        0                        0
0                         -0.469                   0.6808073564287805       6.500362067828183E-7     0.3627946438081711       0.2546211656485882       0.2542735785593826       0                        0                        0
0                         -0.46799999999999997     0.6893828269188703       5.998359381197691E-7     0.3630505545101663       0.2494067764198703       0.25752535212740524      0                        0                        0
0                         -0.46699999999999997     0.697638092784442        5.578448854950631E-7     0.36330965045496477      0.2442549879520883       0.26064495408365934      0                        0                        0
0                         -0.46599999999999997     0.7055571653558528       5.209160265786566E-7     0.36357180217097773      0.23916636842108469      0.2636378461301521       0                        0                        0
0                         -0.46499999999999997     0.7132270150078256       4.997294704267242E-7     0.36383688561808686      0.23414027049910682      0.2665090987404429       0                        0                        0
0                         -0.46399999999999997     0.7206714312831648       4.976800477825889E-7     0.36410478109240596      0.22917638613265104      0.2692625240169972       0                        0                        0
0                         -0.463                   0.7278904141818702       5.147677586462498E-7     0.36437537264112324      0.22427483842541746      0.2719018751256424       0                        0                        0
0                         -0.462                   0.7348839637039427       5.509926030177096E-7     0.3646485480769618       0.21943588675036604      0.2744309299719565       0                        0                        0
0                         -0.461                   0.7416520798493818       6.063545808969688E-7     0.3649241990029189       0.214659760026461        0.2768534911986342       0                        0                        0
0                         -0.46                    0.7481947626181876       6.808536922840279E-7     0.3652022208370046       0.20994649183988257      0.27917338618727744      0                        0                        0
0                         -0.459                   0.754504387997367        7.041167499630043E-7     0.3654825128701867       0.2052958104155854       0.28139454764074606      0                        0                        0
0                         -0.458                   0.7606485388739758       7.142601158052487E-7     0.36576497811217845      0.20070672594108357      0.28352025677894116      0                        0                        0
0                         -0.457                   0.7666272152480147       7.11283789811064E-7      0.3660495224877994       0.19617880822373598      0.2855532788167435       0                        0                        0
0                         -0.456                   0.7724404171194833       6.951877719804498E-7     0.36633605470537656      0.1917118031501963       0.287496408283223        0                        0                        0
0                         -0.455                   0.7780881444883819       6.659720623134068E-7     0.36662448627878774      0.18730552107875686      0.2893524617497041       0                        0                        0
0                         -0.454                   0.7835703973547108       6.236366608099315E-7     0.366914731549502        0.18295972469458852      0.2911242778290135       0                        0                        0
0                         -0.453                   0.7888809442113873       5.718461405988092E-7     0.36720670770656777      0.1786740556560243       0.29281471880526383      0                        0                        0
0                         -0.452                   0.7940404380433986       5.240837855181718E-7     0.36750033483683253      0.1744477478300779       0.2944266529094192       0                        0                        0
0                         -0.451                   0.7990747841109415       4.779298046649255E-7     0.36779553558743944      0.17027996264515866      0.2959623127624575       0                        0                        0
0                         -0.45                    0.8039839824140168       4.3338419803906883E-7    0.3680922347469093       0.1661701713487111       0.29742382686112295      0                        0                        0
0                         -0.449                   0.808768032952624        3.904469656406029E-7     0.3683903592411173       0.16211794730718226      0.2988133414171367       0                        0                        0
0                         -0.448                   0.8134269357267632       3.4911810746952784E-7    0.3686898381510083       0.15812288837786204      0.3001330203576048       0                        0                        0
0                         -0.447                   0.8179606907364343       3.0939762352584336E-7    0.3689906027303109       0.1541845397235054       0.3013850453247469       0                        0                        0
0                         -0.446                   0.8223633278023407       2.7891120176349556E-7    0.3692925864226769       0.1503023505722739       0.3025716276627107       0                        0                        0
0                         -0.445                   0.8266612872001385       2.5402422970153305E-7    0.36959572486248204      0.1464754298291044       0.3036948278544428       0                        0                        0
0                         -0.444                   0.8308622450566783       2.3095950966207202E-7    0.36989995550745297      0.14270306232834373      0.30475631570928224      0                        0                        0
0                         -0.443                   0.8349662013719606       2.0971704164510947E-7    0.37020521748070506      0.13898468924510762      0.3057577644392661       0                        0                        0
0                         -0.442                   0.8389731561459849       1.9029682565064815E-7    0.3705114515854897       0.13531981025365966      0.3067008611053309       0                        0                        0
0                         -0.441                   0.8428831093787511       1.726988616786883E-7     0.3708186003190439       0.13170792842167037      0.30758730661775574      0                        0                        0
0                         -0.44                    0.8466960610702594       1.5692314972922974E-7    0.37112660788643953      0.1281484952638249       0.3084188157353418       0                        0                        0
0                         -0.439                   0.8504083775919088       1.2895285434554625E-7    0.3714354202150096       0.12464087365442739      0.3091971206860124       0                        0                        0
0                         -0.438                   0.854043996065024        1.0417129364832191E-7    0.37174498488933033      0.12118420638983667      0.30992371911607575      0                        0                        0
0                         -0.437                   0.8576029164896053       8.257846763763548E-8     0.3720552508574302       0.11777786533155353      0.31059993046756246      0                        0                        0
0                         -0.436                   0.861085138865653        6.417437631348721E-8     0.37236616840068043      0.11442129509728913      0.3112270934190796       0                        0                        0
0                         -0.435                   0.8644906631931663       4.89590196758784E-8      0.372677689144466        0.11111397332339056      0.3118065573191119       0                        0                        0
0                         -0.434                   0.8678194894721462       3.693239772480624E-8     0.37298976606885553      0.10785537045316447      0.31233968218567887      0                        0                        0
0                         -0.433                   0.871068856550869        2.9341196014728653E-8    0.37330235351728897      0.1046449251337583       0.31282783573271916      0                        0                        0
0                         -0.432                   0.8742460136794922       2.6818793068810343E-8    0.37361540721510833      0.10148193031966891      0.3132723887324572       0                        0                        0
0                         -0.431                   0.877361488362404        2.656516426240155E-8     0.37392888413121267      0.0983656691632187       0.3136744513847643       0                        0                        0
0                         -0.43                    0.8804152805996036       2.8580309595502475E-8    0.3742427423138818       0.09529555987329659      0.3140351023260878       0                        0                        0
0                         -0.429                   0.8834073903910913       3.286422906811285E-8     0.374556940894179        0.09227106833488585      0.314355428486714        0                        0                        0
0                         -0.428                   0.8863378177368669       3.941692268023275E-8     0.37487144009424406      0.08929167800832304      0.3146365250901303       0                        0                        0
0                         -0.427                   0.8892065626369307       4.8238390431862134E-8    0.37518620123558777      0.08635685986576133      0.31487949565431794      0                        0                        0
0                         -0.426                   0.8920103334398013       6.123175147764299E-8     0.37550118674594835      0.08346605828465532      0.31508545586468983      0                        0                        0
0                         -0.425                   0.894760241246383        7.447578627332155E-8     0.3758163601643435       0.08061857765106901      0.31525546197575016      0                        0                        0
0                         -0.424                   0.8974598249374487       8.642500324814952E-8     0.376131685978956        0.07781380742452745      0.3153903954682245       0                        0                        0
0                         -0.423                   0.900109084512998        9.70794024021262E-8      0.3764471295597369       0.07505121164214958      0.31549114254462246      0                        0                        0
0                         -0.422                   0.9027080199730315       1.0643898373525419E-7    0.3767626571660316       0.07233028558944517      0.31555859579305306      0                        0                        0
0                         -0.421                   0.9052566313175489       1.145037472475316E-7     0.37707823595296724      0.06965053281971022      0.3155936541872437       0                        0                        0
0                         -0.42                    0.9077549185465502       1.212736929389595E-7     0.3773938339778368       0.06701144216468993      0.3155972230867554       0                        0                        0
0                         -0.419                   0.9102000358078831       1.357952986770631E-7     0.3777094202070856       0.06441247529140175      0.31557021954638415      0                        0                        0
0                         -0.418                   0.9126035563893776       1.4889075547196995E-7    0.3780249644953636       0.061852988509461033     0.31551345697208927      0                        0                        0
0                         -0.417                   0.9149654802910341       1.605600633236324E-7     0.37834043744295004      0.05933245219800138      0.3154276603262325       0                        0                        0
0                         -0.416                   0.9172858075128524       1.7080322223205138E-7    0.37865581038310253      0.056850374743282896     0.31531356510740444      0                        0                        0
0                         -0.415                   0.9195645380548325       1.7962023219722584E-7    0.3789710553870973       0.05440628471287635      0.3151719118539244       0                        0                        0
0                         -0.414                   0.9218016719169744       1.8701109321915625E-7    0.37928614526926857      0.051999712945548573     0.31500344614337883      0                        0                        0
0                         -0.413                   0.9239955684606855       1.9091105420354124E-7    0.3796010535908047       0.0496301835604849       0.31480891675975436      0                        0                        0
0                         -0.41200000000000003     0.9261491424025547       1.8966866618012694E-7    0.3799157546731485       0.047297155377769705     0.3145890845752263       0                        0                        0
0                         -0.41100000000000003     0.9282679526973575       1.8762008239968257E-7    0.3802302235345842       0.045000078914985954     0.31434457641298486      0                        0                        0
0                         -0.41000000000000003     0.930351999345095        1.847653028622084E-7     0.38054443580421177      0.042738476860022794     0.31407600309714206      0                        0                        0
0                         -0.40900000000000003     0.9324012823457666       1.8110432756770417E-7    0.3808583677239651       0.040511899001343436     0.31378397947463055      0                        0                        0
0                         -0.40800000000000003     0.9344158016993722       1.766371565161701E-7     0.3811719961526378       0.03831990809692062      0.31346912441607266      0                        0                        0
0                         -0.40700000000000003     0.9363955574059118       1.7136378970760606E-7    0.38148529856990504      0.03616206570674143      0.3131320608152511       0                        0                        0
0                         -0.406                   0.9383382807795048       1.6528229449469286E-7    0.38179825307974774      0.03403792870847771      0.31277341966048605      0                        0                        0
0                         -0.405                   0.9402496217216866       1.602211602206613E-7     0.38211083842104104      0.03194697984857253      0.31239381092430557      0                        0                        0
0                         -0.404                   0.9421316176871184       1.565468578130915E-7     0.38242303388293114      0.029888745319074393     0.3119937463007003       0                        0                        0
0                         -0.403                   0.9439842686757988       1.5425938727198416E-7    0.38273481926641234      0.027862793934875497     0.31157374009537847      0                        0                        0
0                         -0.402                   0.9458075746877284       1.5335874859733907E-7    0.3830461748884109       0.025868713932421208     0.31113430986598173      0                        0                        0
0                         -0.401                   0.9476015357229068       1.5384494178915607E-7    0.38335708158503723      0.023906101608689164     0.31067597642321165      0                        0                        0
0                         -0.4                     0.9493661517813345       1.5571796684743526E-7    0.3836675207148372       0.021974549947529978     0.3101992638290108       0                        0                        0
