% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              3001
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                u5 (1)                   u5x (1/m)                u5y (1/m)
0                         -2                       1.1020911794239923       -0.6343443783729935      0.04421820993450724      0.18367273449399038      2.153922853517255        0                        0                        0
0                         -1.999                   1.101215116704441        -0.6343453325455277      0.04635167169113341      0.19274127924386175      2.113000659736056        0                        0                        0
0                         -1.998                   1.1003434073270244       -0.6343453922231065      0.04844421125397934      0.20165130915189156      2.0720784659548377       0                        0                        0
0                         -1.997                   1.0994760512917428       -0.6343445574057299      0.05049582862304358      0.21040283304542057      2.031156272173631        0                        0                        0
0                         -1.996                   1.0986130485985954       -0.6343428280933977      0.0525065237983266       0.21899585975114969      1.990234078392424        0                        0                        0
0                         -1.995                   1.097754399247583        -0.63434020428611        0.05447629677982821      0.22743039809514062      1.949311884611221        0                        0                        0
0                         -1.994                   1.096900103238705        -0.6343366859838668      0.056405147567548816     0.235706456902737        1.9083896908300113       0                        0                        0
0                         -1.993                   1.0960501605719617       -0.6343322731866684      0.05829307616148823      0.24382404499872098      1.8674674970488043       0                        0                        0
0                         -1.992                   1.0952045712473533       -0.6343269658945144      0.060140082561646845     0.25178317120711463      1.8265453032675876       0                        0                        0
0                         -1.991                   1.0943633352648794       -0.6343207641074049      0.061946166768023427     0.259583844351366        1.7856231094863877       0                        0                        0
0                         -1.99                    1.0935264526245403       -0.6343136678253402      0.06371132878061941      0.2672260732542482       1.7447009157051756       0                        0                        0
0                         -1.989                   1.0926939233263357       -0.6343056770483196      0.0654355685994338       0.2747098667378511       1.7037787219239724       0                        0                        0
0                         -1.988                   1.0918657473702658       -0.6342967917763438      0.06711888622446735      0.28203523362362726      1.6628565281427592       0                        0                        0
0                         -1.987                   1.0910419247563306       -0.6342870120094125      0.06876128165571932      0.289202182732391        1.6219343343615562       0                        0                        0
0                         -1.986                   1.0902224554845301       -0.6342763377475258      0.07036275489319045      0.296210722884274        1.5810121405803443       0                        0                        0
0                         -1.985                   1.0894073395548645       -0.6342647689906835      0.07192330593688002      0.3030608628987718       1.5400899467991405       0                        0                        0
0                         -1.984                   1.0885965769673331       -0.6342523057388859      0.07344293478678873      0.3097526115947275       1.499167753017928        0                        0                        0
0                         -1.983                   1.0877901677219368       -0.6342389479921327      0.0749216414429159       0.316285977790301        1.4582455592367236       0                        0                        0
0                         -1.982                   1.0869881118186748       -0.6342246957504241      0.07635942590526217      0.3226609703030304       1.4173233654555097       0                        0                        0
0                         -1.981                   1.0861904092575478       -0.63420954901376        0.07775628817382693      0.3288775979498106       1.376401171674307        0                        0                        0
0                         -1.98                    1.0853970598701606       -0.6341935077720223      0.07911225674662749      0.3349360663195513       1.364210897469113        0                        0                        0
0                         -1.979                   1.0846076894054146       -0.6341765482723446      0.08046797249255154      0.3410593800955333       1.3472205943788245       0                        0                        0
0                         -1.978                   1.0838222629266165       -0.6341586671524881      0.08180669793538545      0.34707545512680205      1.33023029128853         0                        0                        0
0                         -1.977                   1.0830407804337672       -0.634139864412453       0.08312843307512834      0.35298575262939996      1.3132399881982448       0                        0                        0
0                         -1.976                   1.0822632419268645       -0.6341201400522386      0.08443317791178205      0.35879170739233074      1.2962496851079457       0                        0                        0
0                         -1.975                   1.081489647405911        -0.6340994940718456      0.08572093244534443      0.3644947283723246       1.2792593820176594       0                        0                        0
0                         -1.974                   1.080719996870905        -0.6340779264712739      0.08699169667581709      0.3700961992727093       1.2622690789273674       0                        0                        0
0                         -1.973                   1.0799542903218475       -0.6340554372505234      0.08824547060319919      0.3755974791064791       1.2452787758370782       0                        0                        0
0                         -1.972                   1.0791925277587378       -0.6340320264095938      0.08948225422749138      0.380999902744718        1.2282884727467844       0                        0                        0
