% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:48
% Dimension:          2
% Nodes:              10201
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                u5 (1)                   u5x (1/m)                u5y (1/m)
-1                        -2                       1                        1.110223024625057E-14    0                        9.072421090683888E-10    1.007226998484444E-23    0                        0                        0
-0.97                     -2                       0.9334918924669532       -0.13229143889485856     7.94836298992977E-11     5.253823070941435E-9     4.240538755550322E-9     0                        0                        0
-0.94                     -2                       0.9005087547318197       -0.21038120586313497     4.074703463362829E-10    1.900176365684114E-8     1.8417786143768058E-8    0                        0                        0
-0.91                     -2                       0.877877741119178        -0.27902480844283645     1.5827317823360466E-9    7.120294353206515E-8     8.202172197010501E-8     0                        0                        0
-0.88                     -2                       0.8625970899678206       -0.34284652205720534     5.603464709840934E-9     2.261756175946335E-7     2.6028597134755885E-7    0                        0                        0
-0.85                     -2                       0.853015555517968        -0.4024411969968971      1.7987343346287313E-8    7.020108135403697E-7     9.199459460537396E-7     0                        0                        0
-0.8200000000000001       -2                       0.8480532049586755       -0.4582058154064349      5.477867703122043E-8     1.9914278505526383E-6    2.5758378287630128E-6    0                        0                        0
-0.79                     -2                       0.8469332605043821       -0.510095560914928       1.5470708661162648E-7    5.348435944587389E-6     7.830537373410635E-6     0                        0                        0
-0.76                     -2                       0.8490357621747066       -0.558175779257736       4.173136527823769E-7     1.3682159793692608E-5    1.9771661880599985E-5    0                        0                        0
-0.73                     -2                       0.8538592610210202       -0.6023616505837968      1.0538877551064298E-6    3.23229678254441E-5      5.2872365408115866E-5    0                        0                        0
-0.7                      -2                       0.8609714425937387       -0.6426826250506383      2.54948665591744E-6      6.780340864357719E-5     1.2587133531629483E-4    0                        0                        0
-0.67                     -2                       0.8700012529044435       -0.6790852703751769      5.811959161511431E-6     1.5770873889924304E-4    2.8940739156370257E-4    0                        0                        0
-0.64                     -2                       0.8806172387452175       -0.7116119410499607      1.2720715142817276E-5    3.031278951301658E-4     6.271075676234249E-4     0                        0                        0
-0.61                     -2                       0.8925232647972179       -0.7402468464138082      2.6376657720655798E-5    6.303755120527849E-4     0.0013053584569094607    0                        0                        0
-0.5800000000000001       -2                       0.9054503237765867       -0.7650542268054008      5.2629302977467124E-5    0.0011139829431577645    0.002590890756387411     0                        0                        0
-0.55                     -2                       0.919150541094731        -0.786052808509408       9.9951113267513E-5       0.0020920014409752017    0.004922258325991062     0                        0                        0
-0.52                     -2                       0.9333974732974768       -0.8033298279038548      1.8309878686433473E-4    0.0034117886262616617    0.009002627734172552     0                        0                        0
-0.49                     -2                       0.9479772255012274       -0.8169351303048688      3.206311466802607E-4     0.005839441353770927     0.01573123474772263      0                        0                        0
-0.45999999999999996      -2                       0.9626949915449196       -0.8269785994156934      5.429636975441584E-4     0.008825376388355208     0.026669249079997227     0                        0                        0
-0.43000000000000005      -2                       0.9773630849884003       -0.8335388326164851      8.825123577254513E-4     0.013886222996158569     0.04318540282426508      0                        0                        0
-0.4                      -2                       0.9918125446525087       -0.8367477676086068      0.001390843438663257     0.019535943305090307     0.0682631589097226       0                        0                        0
-0.37                     -2                       1.005878119778571        -0.8367111208719067      0.0021120312831163623    0.02849050515892574      0.10318459181107206      0                        0                        0
-0.3400000000000001       -2                       1.0194142134855684       -0.8335819612208993      0.003118342434486298     0.03748732166391169      0.15297791521306628      0                        0                        0
-0.31000000000000005      -2                       1.0322769350704428       -0.8274915870335646      0.004452633702359908     0.05106387797678926      0.21738266044812893      0                        0                        0
-0.28                     -2                       1.0443437993465003       -0.8186125284184355      0.006198808408425531     0.06314177188547214      0.30405527314254427      0                        0                        0
-0.25                     -2                       1.055493023006382        -0.8070995680202486      0.008375261186921362     0.08091522020070789      0.40892760664667205      0                        0                        0
-0.21999999999999997      -2                       1.065626363221191        -0.7931418521529472      0.011062589074491026     0.09447555369163863      0.542751216387932        0                        0                        0
-0.19000000000000006      -2                       1.074645961348077        -0.7769144573019684      0.014228638894235698     0.1146488391576067       0.6952794989552951       0                        0                        0
-0.16000000000000003      -2                       1.0824795551056157       -0.7586188251900214      0.017937122323814645     0.12693045084559523      0.8808942214595915       0                        0                        0
-0.13                     -2                       1.089055288551575        -0.7384455902280361      0.022087416283136905     0.14581307133397467      1.0817800925170902       0                        0                        0
-0.10000000000000009      -2                       1.0943271794261074       -0.7166033421492893      0.026706064099533855     0.1636428212837937       1.3024444443178467       0                        0                        0
-0.07000000000000006      -2                       1.09825510283729         -0.6932916365671983      0.03167954496848673      0.16835150690981138      1.5546865778943535       0                        0                        0
-0.040000000000000036     -2                       1.1008169701551445       -0.6687191440882346      0.0369512754112269       0.17462598790312314      1.8204170352089135       0                        0                        0
-0.010000000000000009     -2                       1.1020014737023576       -0.643088344840215       0.04238434985770987      0.18277771868489978      2.062881979193416        0                        0                        0
0.020000000000000018      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.050000000000000044      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.08000000000000007       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.10999999999999988       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.1399999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.16999999999999993       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.19999999999999996       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.22999999999999998       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.26                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.29000000000000004       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.31999999999999984       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.34999999999999987       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.3799999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.4099999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.43999999999999995       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.47                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.5                       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.53                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.56                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.5899999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.6199999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.6499999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.6799999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.71                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.74                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.77                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.7999999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.8299999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.8599999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.8899999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.9199999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.95                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.98                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.0099999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.04                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.0699999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.1                       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.13                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.1600000000000001        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.19                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.2199999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.25                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.2799999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.31                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.3399999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.37                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.4                       -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.4299999999999997        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.46                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.4899999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.52                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.5499999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.58                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.6099999999999999        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.6399999999999997        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.67                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.6999999999999997        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.73                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.7599999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.79                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.8199999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.85                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.88                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.9099999999999997        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.94                      -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
1.9699999999999998        -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
2                         -2                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-1                        -1.97                    0.9999999999999999       -1.6792683516288848E-14  1.4152578210199049E-25   2.675214550603362E-9     -4.0679350662053705E-23  0                        0                        0
-0.97                     -1.97                    0.9842975997781898       -0.09358070091420287     1.9347927320671836E-10   1.1819895180724573E-8    3.873820493144072E-9     0                        0                        0
-0.94                     -1.97                    0.9558355347531304       -0.18206227996416038     9.634486801300528E-10    4.647861054480798E-8     1.7786010044508545E-8    0                        0                        0
-0.91                     -1.97                    0.9327135322440259       -0.25919493573973906     3.7161762596048386E-9    1.6308000352641633E-7    7.004937559717802E-8     0                        0                        0
-0.88                     -1.97                    0.9156796905872685       -0.3292205580135291      1.2925827737559344E-8    5.163062922425464E-7     2.252045262788348E-7     0                        0                        0
-0.85                     -1.97                    0.9037965818923962       -0.3938516336426571      4.1255271063113356E-8    1.5789911701840787E-6    7.364022495064963E-7     0                        0                        0
-0.8200000000000001       -1.97                    0.896172085463481        -0.45369400194927967     1.2390879041321987E-7    4.39887570143095E-6      2.0765168001701227E-6    0                        0                        0
-0.79                     -1.97                    0.8921366175814219       -0.5090409109143371      3.4848636518575296E-7    1.1852741246739296E-5    5.975322516708188E-6     0                        0                        0
-0.76                     -1.97                    0.8911320322168075       -0.5600025043978258      9.295715789026405E-7     2.948869636355314E-5     1.5157982948665354E-5    0                        0                        0
-0.73                     -1.97                    0.8927091021556143       -0.6066536289280592      2.3396559270923614E-6    7.073957766232316E-5     3.886796054293548E-5     0                        0                        0
-0.7                      -1.97                    0.8964742099341835       -0.649028275357555       5.606613625755329E-6     1.5848126059601208E-4    8.93912466140334E-5      0                        0                        0
-0.67                     -1.97                    0.9020907573820159       -0.6871706958431032      1.2742909334317674E-5    3.4128772501971306E-4    2.0588708241268884E-4    0                        0                        0
-0.64                     -1.97                    0.909254398397318        -0.721115272334344       2.7658311222176704E-5    6.931465278679123E-4     4.316443183515141E-4     0                        0                        0
-0.61                     -1.97                    0.917694526175231        -0.750914881625781       5.718695833889268E-5     0.00134978159272395      8.99427250354441E-4      0                        0                        0
