% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              4001
% Expressions:        10
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                -u*u3+0.1*u3x            u5 (1)                   u5x (1/m)                u5y (1/m)                -u*u5+0.1*u5x
-0.974                    -0.5                     0.9979455331299744       1.338140815143775E-5     0.9999999765705936       -1.4558045307388658E-6   1.5543052341081064E-10   -0.9979456553291559      0                        0                        0                        0
-0.973                    -0.5                     0.9977866858022756       1.3876848748953154E-5    0.9999999750902984       -1.5047863778762723E-6   1.634077416392929E-10    -0.9977868114263447      0                        0                        0                        0
-0.972                    -0.5                     0.9976220288172823       1.4370912305927158E-5    0.9999999735610209       -1.5537682241255006E-6   1.7135653815840899E-10   -0.9976221578179968      0                        0                        0                        0
-0.971                    -0.5                     0.9974515621749955       1.4863598822360015E-5    0.9999999719827618       -1.6027500739274424E-6   1.7931599281847585E-10   -0.9974516945041649      0                        0                        0                        0
-0.97                     -0.5                     0.9972752858754136       1.5354908298251478E-5    0.9999999703555207       -1.6517318917549613E-6   1.8723636762820435E-10   -0.9972754214848961      0                        0                        0                        0
-0.969                    -0.5                     0.9970931999185381       1.5844840733601738E-5    0.999999968679298        -1.7007137451096167E-6   1.9524200756618126E-10   -0.9970933387602536      0                        0                        0                        0
-0.968                    -0.5                     0.9969053043043684       1.633339612841072E-5     0.9999999669540932       -1.749695570042563E-6    2.031979095125693E-10    -0.9969054463302855      0                        0                        0                        0
-0.967                    -0.5                     0.9967116580812234       1.6820572829779397E-5    0.9999999652053437       -1.7584141413661354E-6   1.956774655608156E-10    -0.9967117992423979      0                        0                        0                        0
-0.966                    -0.5                     0.9965124661694211       1.7306430292003702E-5    0.9999999634034342       -1.8454048694529224E-6   2.1730446619289913E-10   -0.996512614240974       0                        0                        0                        0
-0.965                    -0.5                     0.9963077390044317       1.7790989416476992E-5    0.999999961514534        -1.932395572670714E-6    2.3888883426137835E-10   -0.9963078939006212      0                        0                        0                        0
-0.964                    -0.5                     0.996097476586255        1.827425020319908E-5     0.9999999595386433       -2.019386293652074E-6    2.605193876074113E-10    -0.996097638221429       0                        0                        0                        0
-0.963                    -0.5                     0.9958816789148909       1.875621265217015E-5     0.9999999574757615       -2.1063770093043637E-6   2.821037556756199E-10    -0.9958818472034818      0                        0                        0                        0
-0.962                    -0.5                     0.9956603459903397       1.923687676339012E-5     0.999999955325889        -2.1933677444965785E-6   3.03755625303455E-10     -0.9956605208468733      0                        0                        0                        0
-0.961                    -0.5                     0.9954334778126012       1.9716242536858753E-5    0.9999999530890261       -2.2803584592606896E-6   3.253506515129706E-10    -0.9954336591516931      0                        0                        0                        0
-0.96                     -0.5                     0.9952010743816754       2.0194309972576507E-5    0.9999999507651723       -2.3673491713602655E-6   3.4697010262892647E-10   -0.995201262118039       0                        0                        0                        0
-0.959                    -0.5                     0.9949631356975623       2.067107907054328E-5     0.9999999483543276       -2.4543398981147857E-6   3.6858244831671277E-10   -0.994963329746012       0                        0                        0                        0
-0.958                    -0.5                     0.994719661760262        2.1146549830758526E-5    0.9999999458564923       -2.5413306097702724E-6   3.9019434991613507E-10   -0.9947198620357114      0                        0                        0                        0
-0.957                    -0.5                     0.9944706525697746       2.162072225322286E-5     0.9999999432716664       -2.628321342297951E-6    4.118142451220789E-10    -0.994470858987246       0                        0                        0                        0
-0.956                    -0.5                     0.9942161081260997       2.2093596337936436E-5    0.9999999405998498       -2.7153120774901663E-6   4.3341104768748666E-10   -0.9942163206007213      0                        0                        0                        0
-0.955                    -0.5                     0.9939560284292378       2.256517208489881E-5     0.9999999378410424       -2.80230279669517E-6     4.550167320372267E-10    -0.9939562468762467      0                        0                        0                        0
-0.954                    -0.5                     0.9936904134791883       2.3035449494110013E-5    0.9999999349952441       -2.8892935105711026E-6   4.76636627242494E-10     -0.9936906378139366      0                        0                        0                        0
-0.953                    -0.5                     0.9934192632759519       2.3504428565569904E-5    0.9999999320624554       -2.9762842137888947E-6   4.98249417019321E-10     -0.9934194934139077      0                        0                        0                        0
