% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 15:39
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.5                      -0.5                     3.6251913540005915E-16   -2.0085782216772213E-23  0.4869731440121607       -0.4513109602020404      0                        0                        -0.4513109602020406      0                        0.004870750253182256
-0.49                     -0.5                     3.33419346720224E-17     -4.709098769079521E-24   0.4824390765775189       -0.45550794021925894     0                        0                        -0.45550794021925894     0                        0.004825422704846504
-0.48                     -0.5                     3.1583498403921336E-16   -4.958359446780508E-23   0.47786287658490145      -0.4597380183839994      0                        0                        -0.4597380183839996      0                        0.004779674175252673
-0.47                     -0.5                     3.010659739237114E-16    -7.060738383817046E-23   0.47324421371996306      -0.46399996332546256     0                        0                        -0.4639999633254627      0                        0.00473350115759042
-0.46                     -0.5                     1.2760890771838524E-16   -3.300346950663988E-23   0.46858276999918236      -0.4682947380892622      0                        0                        -0.46829473808926225     0                        0.004686898868653514
-0.45                     -0.5                     3.546326228301868E-16    -1.221830030631166E-22   0.4638782160628032       -0.47262144741837814     0                        0                        -0.4726214474183783      0                        0.0046398643523038454
-0.44                     -0.5                     -2.4204408901924605E-16  9.60333956570211E-23     0.45913023504618405      -0.4769807026032336      0                        0                        -0.4769807026032335      0                        0.004592394544974394
-0.43                     -0.5                     -5.920887866643088E-17   2.9215467379273983E-23   0.4543384987356232       -0.48137193647318        0                        0                        -0.48137193647318        0                        0.0045444867318060935
-0.42                     -0.5                     1.4119041499358812E-16   -8.317790429344722E-23   0.44950269170681795      -0.48579539263964844     0                        0                        -0.4857953926396485      0                        0.004496140052414092
-0.41000000000000003      -0.5                     2.9914591785552638E-18   -2.0401348431277305E-24  0.4446224872827574       -0.4902508444069437      0                        0                        -0.4902508444069437      0                        0.004447354168881655
