% Model:              C1FullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 15:35
% Dimension:          2
% Nodes:              10201
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+u2x
-0.5                      -0.5                     1.1973975655023387E-16   -5.604473352925179E-23   0.4821556954836632       -0.45606752015039875     0.004823530770249656     -0.4560675201503988
-0.49                     -0.5                     2.6517871304109552E-17   -1.6138300219307464E-23  0.47757384759585103      -0.4603079318179336      0.004777821394062288     -0.4603079318179336
-0.48                     -0.5                     -6.482100575708294E-16   1.384970296119896E-22    0.4729494201916241       -0.4645829055729179      0.0047315312727550015    -0.4645829055729176
-0.47                     -0.5                     -2.105236339353869E-16   1.0237119429041764E-22   0.46828208998583243      -0.46888888844801807     0.004684981304263738     -0.46888888844801796
-0.46                     -0.5                     5.9613542356884E-16      -1.101008784808872E-22   0.46357152450254174      -0.4732295255928473      0.004637818872554721     -0.4732295255928476
-0.45                     -0.5                     2.2774684473488266E-16   -1.5322079226434244E-22  0.458817400852012        -0.47760085193606233     0.004590418540903693     -0.47760085193606244
-0.44                     -0.5                     2.478900607190453E-16    -7.996119126592286E-23   0.4540193882495145       -0.4820069239611661      0.0045423608305853016    -0.48200692396116623
-0.43                     -0.5                     -2.9583741328599114E-16  9.325719835947093E-23    0.44917716442925376      -0.48644336682668915     0.0044940928000893965    -0.48644336682668904
-0.42                     -0.5                     -6.384061805914283E-17   5.151236868803478E-23    0.4442904002382563       -0.4909146391506817      0.0044451313094162285    -0.4909146391506816
-0.41000000000000003      -0.5                     -3.947237612647982E-16   2.7135443856076914E-22   0.4393587745368063       -0.49541591346254277     0.004395991543254175     -0.4954159134625426
-0.4                      -0.5                     -1.8608775020816237E-16  2.426496895642619E-22    0.4343819602166992       -0.49995204462341875     0.004346122318026306     -0.4999520446234187
-0.39                     -0.5                     1.2224132597851243E-16   -2.215858468216064E-22   0.42935963756109924      -0.5045177719514751      0.00429609181825306      -0.5045177719514751
-0.38                     -0.5                     2.246440649275761E-16    -2.640220752904972E-22   0.4242914820312099       -0.5091183527742422      0.004245297644447115     -0.5091183527742423
-0.37                     -0.5                     3.1128314350200834E-17   -7.185281048253408E-23   0.41917717540493027      -0.513748098000915       0.004194374278106484     -0.513748098000915
-0.36                     -0.5                     -1.7078174242433458E-16  3.325532942795495E-22    0.4140163963715243       -0.5184126240193956      0.004142639442323564     -0.5184126240193955
-0.35                     -0.5                     -2.046216994223518E-16   3.824993143349771E-22    0.40880882882361563      -0.5231058330670927      0.004090806890923444     -0.5231058330670926
-0.33999999999999997      -0.5                     -3.453971647667967E-16   1.0240246682467841E-21   0.4035541551666421       -0.5278336789721563      0.004038122617659137     -0.5278336789721562
-0.32999999999999996      -0.5                     -1.8205905072773594E-16  4.982944038550678E-22    0.3982520623279276       -0.5325896555060091      0.003985363389281522     -0.532589655506009
-0.32                     -0.5                     -9.948834470786736E-17   3.8113495631152916E-22   0.392902237177374        -0.5373800217834932      0.003931717617651429     -0.5373800217834932
-0.31                     -0.5                     -6.598218920938621E-16   3.449172456941001E-21    0.38750437052872977      -0.542197869091383       0.0038780397922953246    -0.5421978690913828
-0.3                      -0.5                     2.281339569880928E-16    -1.1969985991906144E-21  0.3820581551332856       -0.547049710165086       0.0038234257893783987    -0.5470497101650861
-0.29000000000000004      -0.5                     1.6758736808155924E-16   -2.331456034044781E-22   0.3765632871381898       -0.5519284137864638      0.0037688338779350047    -0.551928413786464
-0.28                     -0.5                     6.122575635606083E-17    -2.9845775140588774E-22  0.3710194664738297       -0.5568400970521139      0.003713208448072705     -0.5568400970521139
-0.27                     -0.5                     1.3796460329697092E-16   -6.723021513644001E-22   0.36542639731376         -0.5617781955658782      0.003657635092000921     -0.5617781955658782
-0.26                     -0.5                     6.778753404717415E-16    -5.770299344797206E-21   0.3597837898022668       -0.566747783528985       0.0036010391583507235    -0.5667477835289852
-0.25                     -0.5                     1.3047351720169E-16      -1.0049276061187089E-21  0.3540913581426281       -0.5717428555323787      0.00354446342553801      -0.5717428555323787
-0.24                     -0.5                     4.149274226308588E-16    -4.402730861928245E-21   0.34834882675917095      -0.5767677139209737      0.0034868963949617744    -0.5767677139209738
-0.22999999999999998      -0.5                     -1.772170070960827E-16   2.2004204870844324E-21   0.34255592556636877      -0.5818165762479102      0.003429328853625729     -0.5818165762479101
-0.21999999999999997      -0.5                     2.819684902758184E-16    -3.8662593865025786E-21  0.3367123993883059       -0.5868926405927987      0.003370787055287691     -0.5868926405927988
-0.21000000000000002      -0.5                     -5.427967477554899E-17   8.225233295448378E-22    0.330818002621419        -0.591990337023872       0.0033122070089749117    -0.591990337023872
-0.2                      -0.5                     -5.411682985652763E-16   9.619429395881853E-21    0.32487251233382425      -0.597111088816672       0.0032525946582064474    -0.5971110888166717
-0.19                     -0.5                     2.755920985589066E-16    -3.898695319341414E-21   0.31887572470270237      -0.6022492308179698      0.0031928102324287363    -0.6022492308179699
-0.18                     -0.5                     -8.282901626166538E-16   1.655029279594253E-20    0.31282747390465154      -0.6074029533654458      0.0031319647260680678    -0.6074029533654456
-0.16999999999999998      -0.5                     -8.879282130905646E-16   1.0606018192986683E-20   0.3067276386760951       -0.6125650498608729      0.0030709032600298295    -0.6125650498608727
-0.15999999999999998      -0.5                     2.1705015533232372E-16   -3.95797695231756E-21    0.3005761734224431       -0.6177268264413525      0.0030088898770760392    -0.6177268264413526
-0.14999999999999997      -0.5                     -5.968065210497898E-16   9.021771043836892E-21    0.2943731453909785       -0.6228741363417953      0.002946562793410355     -0.6228741363417951
-0.14                     -0.5                     -4.686494240117471E-17   4.1636846868286996E-22   0.28811881160000785      -0.6279831684796742      0.002883690195492082     -0.6279831684796742
-0.13                     -0.5                     -6.83301293917531E-16    4.663385590537877E-21    0.2818137437228853       -0.6330117718141022      0.0028202597837486388    -0.633011771814102
