% Model:              C1FullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 15:35
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+u2x
-2                        0                        1.4993174364442976       -6.060261483360533E-10   0.8556423301427422       -0.11244121583644505     -8.274412406891377E-7    -1.3953206807792864
-1.99                     0                        1.49931746704664         -6.127073004699171E-10   0.8545131550642885       -0.11339379985425616     -7.496822780836914E-7    -1.394580299063278
-1.98                     0                        1.4993175008218302       -5.978938546996141E-10   0.8533744389341253       -0.1143550158482795      1.0067247439534174E-6    -1.393834246896224
-1.97                     0                        1.499317538116584        -5.892950664489433E-10   0.8522259966247454       -0.11533344602768589     5.143058448677047E-7     -1.3930908292060513
-1.96                     0                        1.4993175790180573       -5.944233126562332E-10   0.8510677690954728       -0.1163137448164373      -2.550683195266312E-9    -1.3923346119569606
-1.95                     0                        1.4993176240809414       -5.856073298855951E-10   0.8498996462797545       -0.11731081832720107     -7.576948619391596E-7    -1.3915803366945951
-1.94                     0                        1.4993176737773268       -5.806610567329274E-10   0.848721551748971        -0.11830887129719278     1.9056169972581037E-8    -1.390812093950143
-1.93                     0                        1.4993177282970471       -6.223215324233975E-10   0.8475333825099979       -0.11932840662864408     1.718592339104384E-6     -1.3900502323494464
-1.92                     0                        1.4993177880384918       -6.253702357423651E-10   0.846334978298533        -0.12035243566436232     6.604866019409029E-7     -1.3892775232665238
-1.91                     0                        1.499317853227878        -5.338974254698608E-10   0.8451263005872584       -0.12138817111526141     -1.43961626376924E-6     -1.3885011218181678
-1.9                      0                        1.499317924970336        -6.140938009693295E-10   0.8439071950254294       -0.12243376303098699     -2.7520496005545537E-6   -1.3877189475440506
-1.89                     0                        1.4993180032417244       -6.051567677767221E-10   0.8426776097297287       -0.12348695675515407     1.2912995981123268E-6    -1.38692866795164
-1.88                     0                        1.4993180887648792       -4.918209583952777E-10   0.8414373925455543       -0.12455857548681261     9.091114067793146E-7     -1.3861408786935163
-1.87                     0                        1.4993181820800012       -5.824501904616195E-10   0.8401864337872712       -0.12563317616985706     -2.282907762990546E-6    -1.3853399726840678
-1.8599999999999999       0                        1.4993182837985526       -5.100048250655098E-10   0.8389246642247132       -0.12672452608357299     9.025384925501044E-7     -1.384539613885247
-1.85                     0                        1.4993183946634636       -5.068680713993046E-10   0.8376519143976077       -0.12782543933755908     4.454018081652548E-7     -1.3837323629189573
-1.84                     0                        1.4993185153081132       -5.612214783931881E-10   0.8363681395112116       -0.12893499120613292     1.5569249625188248E-6    -1.3829172283890916
-1.83                     0                        1.499318646579676        -5.647799243405313E-10   0.8350731640238871       -0.1300601062588027      6.326086098390192E-7     -1.3821008723381047
-1.82                     0                        1.4993187888848056       -5.016135173404072E-10   0.8337669128946761       -0.13119508042499972     -8.313456415925051E-7    -1.3812774784784687
-1.81                     0                        1.4993189438179386       -5.330312242228545E-10   0.8324492383307596       -0.13233983235829402     -2.772628869245881E-6    -1.380446745154416
-1.8                      0                        1.499319111713832        -4.740272065318707E-10   0.8311200939220372       -0.13349593040122473     -9.271005686479252E-7    -1.37961017134793
-1.79                     0                        1.4993192936941104       -3.1788740740330637E-10  0.8297792580432662       -0.13467124535294864     -9.000579037520746E-8    -1.3787752964444016
-1.78                     0                        1.4993194907794862       -4.211550330788026E-10   0.8284266690149781       -0.13584656030466838     7.47089012766506E-7      -1.3779228118403513
-1.77                     0                        1.499319704159244        -4.200121710281623E-10   0.8270622448009299       -0.1370445599266872      2.510764757352168E-7     -1.3770752801228978
-1.76                     0                        1.499319934763596        -3.3610448255571896E-10  0.8256857713243502       -0.13825013538928202     -8.203861257256464E-7    -1.376217272186536
-1.75                     0                        1.4993201836828924       -5.935085718557517E-10   0.8242972032324928       -0.13946820301798324     1.6405900031052738E-6    -1.3753536371778188
-1.74                     0                        1.4993204531283109       -3.876003663754468E-10   0.822896382019763        -0.14069822463419773     1.0957984168561887E-6    -1.3744836010017163
-1.73                     0                        1.499320743124226        -7.663093853632522E-10   0.82148319240274         -0.14194388482308604     -9.435541652716034E-7    -1.3736106753204238
-1.72                     0                        1.4993210561435326       -3.934262965204912E-10   0.8200574925999056       -0.14319607574382495     -8.158733428337243E-7    -1.3727255416471325
-1.71                     0                        1.499321393447157        -6.934560888924486E-10   0.8186191865500716       -0.1444690042633176      5.421411106123518E-7     -1.3718422637441492
-1.7                      0                        1.499321756004249        -4.3113785118173856E-10  0.8171681100811506       -0.14574772281127388     5.307328482093391E-7     -1.370945648568818
-1.69                     0                        1.499322146664068        -5.162563473385935E-10   0.8157041519051372       -0.14704547501457826     -2.6879221528617485E-6   -1.3700487750917816
-1.68                     0                        1.4993225658582956       -1.8344942528773456E-10  0.8142271761625763       -0.1483517539414635      1.0171260246589285E-6    -1.3691409328970918
-1.67                     0                        1.4993230158945317       -1.0533934668720978E-10  0.812737030546977        -0.14967736917839256     -8.406522924573611E-7    -1.3682327049472522
-1.66                     0                        1.499323499773187        -1.26080555001563E-10    0.8112336259089222       -0.15100538399143648     4.6691731455261446E-7    -1.367307023122894
-1.65                     0                        1.499324017664463        -1.4325699179739028E-10  0.8097167899397009       -0.1523621825932691      2.2538381618720096E-6    -1.3663900132560334
-1.6400000000000001       0                        1.499324573220906        -3.026162251511089E-10   0.808186379781503        -0.15372031371687456     3.210016734865889E-7     -1.3654540126657255
-1.63                     0                        1.4993251679498607       -3.5521747213722965E-10  0.8066423158539641       -0.15510030375576345     -1.2421275661261257E-8   -1.3645194294489726
-1.62                     0                        1.4993258036520236       -5.614759149643553E-10   0.805084358061922        -0.1564912546526691      6.584033178744733E-7     -1.363575006811534
-1.6099999999999999       0                        1.499326481554084        2.0049368735964E-11      0.8035124521103961       -0.15789708683555373     -8.967547465927823E-7    -1.3626245845431286
-1.6                      0                        1.4993272075838606       1.232930156622595E-11    0.8019263851070862       -0.15931631382642555     -4.3383487861365665E-6   -1.3616663614968527
-1.5899999999999999       0                        1.4993279821738097       1.637537067651907E-10    0.800326105622549        -0.16074195062267957     6.029671891403216E-7     -1.3606932756467591
-1.58                     0                        1.4993288068986503       4.2431900989042356E-10   0.7987113981336257       -0.16220158068376062     1.3217329979167829E-6    -1.3597325883038025
-1.57                     0                        1.4993296856626765       5.063399899079379E-10    0.7970820722981634       -0.1636635864086548      -1.573295021488414E-7    -1.358752399314815
-1.56                     0                        1.4993306205549075       2.2124239321298855E-10   0.795438116466727        -0.16513451231884518     3.1225574642784306E-7    -1.3577592370939298
-1.55                     0                        1.4993316144760185       -1.3175386026725277E-10  0.7937792549290081       -0.16663801693005623     1.2675121393081457E-6    -1.356776348760337
-1.54                     0                        1.4993326695344042       -1.9935701845104256E-10  0.7921053552808199       -0.16814191270760634     8.343887798342985E-7     -1.3557713495932957
-1.53                     0                        1.4993337895892305       7.628017158728356E-11    0.7904163532748091       -0.16966664658711159     -2.6833320856281643E-6   -1.3547645928959309
-1.52                     0                        1.499334975857456        4.1847909265597986E-11   0.7887119672788031       -0.17121055261409016     1.2969997858117858E-6    -1.353753991032541
-1.51                     0                        1.4993362321223471       1.0707673306838413E-10   0.7869921320837544       -0.17275950478404542     6.036123930242784E-7     -1.3527253228124343
-1.5                      0                        1.4993375616013362       3.3773533702222345E-10   0.7852566725835414       -0.17433683628769953     -3.7201949318961586E-6   -1.3517016609902854
-1.49                     0                        1.4993389647863946       5.10472556719943E-10     0.7835053702529979       -0.1759236298209876      6.568385805226954E-7     -1.3506637605606984
-1.48                     0                        1.4993404431976336       1.2727261458562454E-9    0.7817381355281676       -0.17752991121578773     -4.5714149615048705E-7   -1.3496215138030823
-1.47                     0                        1.4993420034761005       1.103717019211908E-9     0.7799547551459666       -0.17914668708590345     -3.6097460833031267E-6   -1.3485656122871685
-1.46                     0                        1.4993436446863877       1.2458897829932674E-9    0.7781551305839747       -0.18078585478754058     2.343598618424299E-6     -1.347507804408729
-1.45                     0                        1.4993453698791994       3.587690813960979E-10    0.7763389882342798       -0.18244321577825168     3.2525504702553196E-6    -1.3464434832440213
-1.44                     0                        1.4993471799638698       -2.2939394942283278E-10  0.7745062631250382       -0.18410265405017698     -2.874847936629397E-8    -1.3453564355310579
-1.43                     0                        1.4993490778192582       3.223117557201953E-10    0.7726567524200052       -0.18580270293292572     -1.4097266632410534E-6   -1.3442848921446833
-1.42                     0                        1.4993510600084754       6.29343312147749E-10     0.7707902085069476       -0.18750607967858404     1.15052414290514E-6      -1.3431911958476297
-1.4100000000000001       0                        1.4993531334005161       1.1574722001901287E-9    0.768906596457131        -0.189223098966779       -3.665370331795355E-6    -1.3420856136571044
-1.4                      0                        1.4993552922278315       1.2386682746065783E-9    0.767005623104963        -0.19097192920004447     1.6774038127327384E-7    -1.3409858693709762
-1.3900000000000001       0                        1.4993575367962102       1.1710599494139618E-9    0.7650871549564274       -0.19272492581427794     2.1517270758249916E-6    -1.3398641179041675
-1.38                     0                        1.4993598695537          1.8395435247883172E-9    0.7631510309776213       -0.19450490198924697     -2.0961477737376625E-6   -1.338742932245625
-1.37                     0                        1.499362284259168        2.3413263253375913E-9    0.7611970254411713       -0.19629620530074737     1.7277710379370152E-6    -1.337606316137506
-1.3599999999999999       0                        1.4993647813542859       2.6867500150803277E-9    0.7592250057446555       -0.19811313473420533     -4.964963204418909E-7    -1.3364683694712471
-1.35                     0                        1.4993673522629165       2.263398426984191E-9     0.7572347403751096       -0.19994358122755113     3.220407936101714E-7     -1.3353166289452763
-1.3399999999999999       0                        1.4993699952206614       3.504524881503352E-9     0.7552260693554325       -0.20179366407152166     -7.435509322145505E-7    -1.3341569720714954
-1.33                     0                        1.4993727015892164       2.352015652617767E-9     0.7531987987398656       -0.20366557493679466     -1.9659760279943746E-7   -1.3329912926371394
