% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 15:39
% Dimension:          2
% Nodes:              401
% Expressions:        8
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x
-1.21                     0                        1.4996516362250172       -1.5270696054112204E-9   0.7296416249333206       -0.22532049688533215     0                        0                        -1.3195287535744669      0
-1.2                      0                        1.4996544209082583       -2.4100405971985873E-9   0.7273778504128477       -0.22743540491199202     0                        0                        -1.318250813954365       0
-1.19                     0                        1.499657000209894        -5.081374042461932E-9    0.7250928931809736       -0.2295666258296788      0                        0                        -1.3169572588909708      0
-1.18                     0                        1.4996593046457734       8.238721395254065E-10    0.7227864286487515       -0.23172628061474257     0                        0                        -1.3156596736095312      0
-1.17                     0                        1.4996612882887572       -5.303312360705106E-9    0.7204582998710317       -0.23390609749596808     0                        0                        -1.3143495196388872      0
-1.1600000000000001       0                        1.4996628638344731       8.3549157694561E-9       0.7181082858574902       -0.23609881484665254     0                        0                        -1.3130191433589606      0
-1.15                     0                        1.499663978215917        -1.159769644419202E-8    0.7157361331961254       -0.23833281001924272     0                        0                        -1.3116965068810216      0
-1.1400000000000001       0                        1.4996645504719683       1.6722643521703533E-8    0.7133416104504426       -0.24057838423616923     0                        0                        -1.3103515098052823      0
-1.13                     0                        1.4996644789436575       -1.912405952864635E-8    0.7109245015882636       -0.24284874914585636     0                        0                        -1.3089969713884992      0
-1.12                     0                        1.4996636559861214       3.254794383361892E-9     0.7084845553838973       -0.24514488410796031     0                        0                        -1.3076334226446775      0
-1.1099999999999999       0                        1.4996619859384013       2.770529150909725E-9     0.7060215562608732       -0.24745668929659176     0                        0                        -1.3062503784740935      0
-1.1                      0                        1.4996593022723737       -1.9160655937159984E-8   0.7035352222326622       -0.24981011634563308     0                        0                        -1.3048732568431065      0
-1.0899999999999999       0                        1.4996554584925588       5.579861415653731E-9     0.7010253410851243       -0.2521681457652366      0                        0                        -1.3034646250651512      0
-1.08                     0                        1.4996503906568783       8.57921605671949E-9      0.6984917536791343       -0.25456319974368985     0                        0                        -1.3020566310192117      0
-1.0699999999999998       0                        1.499643814475746        -4.658344565330676E-8    0.6959339923802671       -0.25698906002974503     0                        0                        -1.3006421669862236      0
-1.06                     0                        1.499635554020736        4.8820998185459194E-9    0.6933519723927449       -0.25941508018563614     0                        0                        -1.2991903494362003      0
-1.0499999999999998       0                        1.4996254673181737       1.2118684916143912E-8    0.6907454680798393       -0.26189445386204224     0                        0                        -1.2977539492291819      0
-1.04                     0                        1.4996132573411793       -2.2840318058667444E-8   0.6881140749697399       -0.2643841681577961      0                        0                        -1.2962891575454802      0
-1.03                     0                        1.4995987372263786       1.0835422011035734E-8    0.6854576558185008       -0.2669048974886845      0                        0                        -1.294816332576262       0
-1.02                     0                        1.4995815378609485       5.2174139343948014E-8    0.682775874017318        -0.2694546218423283      0                        0                        -1.2933327170155713      0
-1.01                     0                        1.4995614846666616       -1.028313513781812E-7    0.6800684939761058       -0.2720299872975392      0                        0                        -1.291834507799369       0
-1                        0                        1.4995380869952994       1.0247464339160652E-7    0.6773352468004563       -0.2746224382560401      0                        0                        -1.2903124384976854      0
-0.99                     0                        1.4995109995494884       -1.1499190642112823E-7   0.6745758651249968       -0.27725960143878825     0                        0                        -1.288793531224333       0
-0.98                     0                        1.4994800052985067       1.674907973128021E-8     0.6717900376966116       -0.27990996390060374     0                        0                        -1.2872456931854028      0
-0.97                     0                        1.49944439381951         4.34700940631782E-8      0.6689774783890189       -0.28260189761795673     0                        0                        -1.2856964271798834      0
-0.96                     0                        1.4994037501333037       4.262232465457986E-9     0.6661379744692271       -0.2853015639506212      0                        0                        -1.2841113409759832      0
-0.95                     0                        1.4993576357531948       -2.9126172219732775E-8   0.6632711838935385       -0.28805708066358315     0                        0                        -1.2825377948094214      0
-0.94                     0                        1.499305529676074        -1.6434455028280752E-8   0.6603768005841179       -0.2908195812204996      0                        0                        -1.2809261700060615      0
-0.9299999999999999       0                        1.4992467622049377       -1.2442742467394045E-7   0.6574545481752077       -0.2936307000638964      0                        0                        -1.2793173027124867      0
-0.9199999999999999       0                        1.499180521998206        2.203911984803502E-8     0.6545041508227367       -0.29645460752067004     0                        0                        -1.277674482001093       0
-0.9099999999999999       0                        1.4991061059287032       6.732916196622285E-8     0.6515252594670975       -0.29932548132737774     0                        0                        -1.2760309759612862      0
-0.8999999999999999       0                        1.4990229970467834       -1.8478361400440395E-8   0.6485175918882929       -0.30221848135113716     0                        0                        -1.274361265581089       0
-0.8899999999999999       0                        1.4989300085897581       1.5628016908185928E-8    0.6454808284528608       -0.30513755035025314     0                        0                        -1.272668134087624       0
-0.8799999999999999       0                        1.4988264542627419       -1.1535883225645656E-7   0.6424146576424513       -0.3081046367642469      0                        0                        -1.2709727202448955      0
-0.8699999999999999       0                        1.4987111666392423       7.27024303933209E-8      0.6393187235258768       -0.31108218655061953     0                        0                        -1.2692362965403976      0
-0.8599999999999999       0                        1.4985829386119676       1.1075129773047069E-8    0.6361928200796707       -0.31411423457001525     0                        0                        -1.267501940408843       0
-0.8499999999999999       0                        1.4984405220909676       -6.715001561270289E-8    0.6330364163984316       -0.3171665016778207      0                        0                        -1.2657339199684816      0
-0.8400000000000001       0                        1.4982832124831835       1.5272225386889386E-7    0.6298493927803882       -0.3202513570613138      0                        0                        -1.2639441286568962      0
-0.8300000000000001       0                        1.4981089630188056       2.0306268186411737E-7    0.6266312159118491       -0.32338401664649974     0                        0                        -1.2621458577114133      0
-0.8200000000000001       0                        1.4979168692500353       -4.5241469064228113E-7   0.6233816864511416       -0.3265333283543195      0                        0                        -1.2603072724710205      0
-0.81                     0                        1.4977048774639212       8.375312687150481E-7     0.6201003912640402       -0.329735030357162       0                        0                        -1.2584624108706008      0
-0.8                      0                        1.4974718427650981       4.36480417692258E-7      0.6167869327051648       -0.33295668141790236     0                        0                        -1.2565777461293381      0
-0.79                     0                        1.4972157346725128       -8.008941050728721E-7    0.6134410275043574       -0.3362338690079622      0                        0                        -1.2546874276811597      0
-0.78                     0                        1.4969332392077381       2.2613916522896158E-7    0.6100622458060547       -0.3395224706525356      0                        0                        -1.2527449243853406      0
-0.77                     0                        1.4966236497465426       1.453727641470712E-7     0.6066503638884585       -0.3428684476245295      0                        0                        -1.2507957293473424      0
-0.76                     0                        1.496283658112875        -2.944765458504496E-7    0.6032047414023881       -0.3462566031529555      0                        0                        -1.2488220002095516      0
-0.75                     0                        1.4959126545497654       1.852973057708913E-7     0.5997252233329284       -0.34965714802870357     0                        0                        -1.2467936988651154      0
-0.74                     0                        1.4955060787488381       -2.2200394110666424E-7   0.5962112952257188       -0.35312978430910336     0                        0                        -1.244767400537884       0
-0.73                     0                        1.4950621242694404       -2.3770432924531922E-7   0.5926626017767967       -0.356608905475329       0                        0                        -1.2426763138628         0
-0.72                     0                        1.494577884340814        1.2211058775698274E-7    0.5890787468779733       -0.3601659963299039      0                        0                        -1.240590063548923       0
-0.71                     0                        1.4940486933013388       -1.8840901884955797E-7   0.5854592741127438       -0.3637293036094458      0                        0                        -1.238433967078741       0
-0.7                      0                        1.4934727673061141       7.247475682361086E-7     0.5818038745863517       -0.36736435523741473     0                        0                        -1.2362725978453128      0
-0.69                     0                        1.49284654851481         2.793113536117549E-7     0.5781119593376763       -0.3710186944976531      0                        0                        -1.2340511376500374      0
-0.6799999999999999       0                        1.492166036505987        3.0277859959399E-7       0.5743832299259046       -0.3747383312784964      0                        0                        -1.2318134789125406      0
-0.6699999999999999       0                        1.4914244375521717       -9.499007988140921E-7    0.5706171749183155       -0.3784759234908199      0                        0                        -1.2295083226509778      0
-0.6599999999999999       0                        1.4906212495683617       8.713859167976541E-7     0.5668134691387985       -0.38228734626537225     0                        0                        -1.227191547905226       0
-0.6499999999999999       0                        1.4897484142128057       9.942218512839986E-7     0.562971376845242        -0.386129284191064       0                        0                        -1.2248150000934632      0
-0.6399999999999999       0                        1.488805460664292        -1.409595651740224E-6    0.5590907900119961       -0.39000838374630625     0                        0                        -1.2223858049232792      0
-0.6299999999999999       0                        1.4877840075173159       6.824842957447417E-7     0.5551710180563059       -0.39395972395072143     0                        0                        -1.2199342860520002      0
-0.6199999999999999       0                        1.4866770987007025       -3.9193282788355545E-7   0.5512115627865292       -0.39793133000460446     0                        0                        -1.2174049369383617      0
-0.6099999999999999       0                        1.4854815505799324       8.907092321643294E-7     0.5472121303624121       -0.40197462440485454     0                        0                        -1.2148481483117586      0
-0.5999999999999999       0                        1.4841898459003842       -5.941088266164468E-7    0.5431719848890543       -0.4060538953492592      0                        0                        -1.2122242398991503      0
-0.5900000000000001       0                        1.4827992783368251       1.8714633178906048E-6    0.5390908152860879       -0.41019805655629854     0                        0                        -1.2095615284205203      0
-0.5800000000000001       0                        1.481300151656562        1.2638717707829178E-6    0.5349680007081783       -0.414364330167083       0                        0                        -1.2068125107475154      0
-0.5700000000000001       0                        1.4796833233388142       -1.352143914803555E-6    0.5308030335700903       -0.4186290974505425      0                        0                        -1.2040494942018578      0
-0.56                     0                        1.477943404457773        -1.2051526706295282E-6   0.5265953822940607       -0.42290197629729914     0                        0                        -1.2011801483767257      0
-0.55                     0                        1.4760759621267556       9.003903791366047E-7     0.522344620502634        -0.4272717720074726      0                        0                        -1.1982921102776332      0
-0.54                     0                        1.4740666944540655       1.1937340504053004E-6    0.5180499208362191       -0.4316656494068359      0                        0                        -1.1953057837760717      0
-0.53                     0                        1.471914941830579        -1.9225273118320577E-6   0.5137110872595183       -0.4361264434250995      0                        0                        -1.192265468546417       0
-0.52                     0                        1.4696053939708287       8.48724230761466E-7      0.5093272777526489       -0.44065307585457913     0                        0                        -1.1891631905363504      0
-0.51                     0                        1.4671321802777073       -1.1216797603170942E-6   0.5048979683286633       -0.44520880894254033     0                        0                        -1.1859608660343568      0
-0.5                      0                        1.4644867942406077       2.4932328875423396E-6    0.5004227088514239       -0.4498361274328893      0                        0                        -1.1826985760839122      0
-0.49                     0                        1.4616571149771473       1.3536458757117088E-6    0.4959007001489346       -0.4545656130649469      0                        0                        -1.1794023997597862      0
-0.48                     0                        1.4586363724450846       -1.065616052548047E-6    0.49133146775561976      -0.4592806291581545      0                        0                        -1.1759545789533308      0
